dataset	plr_error	target_entries	inputs	truth_unique	merged_entries	merged_rank_min	merged_rank_max	outputs	split_entries	capacity_bad_files	sibling_overlap_pairs	materialized_unique	local_duplicate_keys	identity_missing	identity_extra	truth_outside_output_ranges	range_count_bad_files	range_entries_sum	bucket_overlap_pairs	retained_unique_samples
gapped_6	0	7	3	55	55	0	54	8	55	1	0	54	1	4	3	1	0	55	1	54
gapped_6	0	16	3	55	55	0	54	4	55	0	0	55	0	4	4	0	0	55	0	55
gapped_6	8	2	3	55	55	0	54	28	55	1	0	54	1	47	46	4	25	52	1	51
gapped_6	8	7	3	55	55	0	54	8	55	0	0	54	1	47	46	2	8	53	0	53
gapped_6	8	16	3	55	55	0	54	4	55	0	0	54	1	47	46	0	4	55	0	55
random_7	0	2	3	56	56	0	55	28	56	4	3	49	4	19	12	9	6	54	4	47
random_7	0	7	3	56	56	0	55	8	56	0	0	53	3	16	13	4	3	52	0	52
random_7	0	16	3	56	56	0	55	4	56	0	1	53	2	16	13	1	2	56	0	55
random_7	8	2	3	56	56	0	55	28	56	0	2	54	0	30	28	13	17	45	0	43
random_7	8	7	3	56	56	0	55	8	56	0	0	54	2	30	28	4	6	52	0	52
random_7	8	16	3	56	56	0	55	4	56	0	0	54	2	30	28	3	3	53	0	53
gapped_7	0	2	3	56	56	0	55	28	56	1	5	50	1	6	0	4	2	58	1	52
gapped_7	0	7	3	56	56	0	55	8	56	0	0	55	1	5	4	1	3	55	0	55
gapped_7	0	16	3	56	56	0	55	4	56	0	0	55	1	5	4	0	2	56	0	56
gapped_7	8	2	3	56	56	0	55	28	56	0	1	55	0	48	47	15	25	42	0	41
gapped_7	8	7	3	56	56	0	55	8	56	0	0	55	1	48	47	3	8	53	0	53
gapped_7	8	16	3	56	56	0	55	4	56	0	0	55	1	48	47	0	4	56	0	56
random_8	0	2	3	57	57	0	56	29	57	2	3	52	2	14	9	6	7	56	2	51
random_8	0	7	3	57	57	0	56	9	57	1	0	56	1	12	11	4	4	54	1	53
random_8	0	16	3	57	57	0	56	4	57	0	0	57	0	12	12	0	2	57	0	57
random_8	8	2	3	57	57	0	56	29	57	0	1	56	0	25	24	11	14	47	0	46
random_8	8	7	3	57	57	0	56	9	57	0	0	56	1	25	24	5	5	52	0	52
random_8	8	16	3	57	57	0	56	4	57	0	0	57	0	25	25	1	4	56	0	56
gapped_8	0	2	3	57	57	0	56	29	57	2	3	52	2	5	0	3	2	59	2	54
gapped_8	0	7	3	57	57	0	56	9	57	0	0	56	1	4	3	1	3	56	0	56
gapped_8	0	16	3	57	57	0	56	4	57	0	0	56	1	4	3	0	2	57	0	57
gapped_8	8	2	3	57	57	0	56	29	57	1	0	56	1	48	47	22	25	36	1	35
gapped_8	8	7	3	57	57	0	56	9	57	0	0	56	1	48	47	11	8	46	0	46
gapped_8	8	16	3	57	57	0	56	4	57	0	0	56	1	48	47	0	4	57	0	57
random_9	0	2	3	58	58	0	57	29	58	0	2	56	0	18	16	10	10	50	0	48
random_9	0	7	3	58	58	0	57	9	58	0	0	57	1	17	16	1	5	57	0	57
random_9	0	16	3	58	58	0	57	4	58	0	0	58	0	16	16	1	1	57	0	57
random_9	8	2	3	58	58	0	57	29	58	0	1	57	0	24	23	13	18	46	0	45
random_9	8	7	3	58	58	0	57	9	58	0	1	57	0	24	23	3	6	56	0	55
random_9	8	16	3	58	58	0	57	4	58	0	0	57	1	24	23	2	3	56	0	56
gapped_9	0	2	3	58	58	0	57	29	58	2	4	52	2	6	0	1	5	63	2	57
gapped_9	0	7	3	58	58	0	57	9	58	0	3	54	1	6	2	0	3	61	0	58
gapped_9	0	16	3	58	58	0	57	4	58	0	0	56	2	6	4	0	3	58	0	58
gapped_9	8	2	3	58	58	0	57	29	58	0	1	57	0	50	49	20	25	39	0	38
gapped_9	8	7	3	58	58	0	57	9	58	0	1	57	0	50	49	11	8	48	0	47
gapped_9	8	16	3	58	58	0	57	4	58	0	0	57	1	50	49	4	4	54	0	54
