dataset	plr_error	target_entries	inputs	truth_unique	merged_entries	merged_rank_min	merged_rank_max	outputs	split_entries	capacity_bad_files	sibling_overlap_pairs	materialized_unique	local_duplicate_keys	identity_missing	identity_extra	truth_outside_output_ranges	range_count_bad_files	range_entries_sum	bucket_overlap_pairs	retained_unique_samples
gapped_6	0	2	3	55	55	0	55	28	55	3	2	50	3	5	0	4	1	56	3	51
gapped_6	0	7	3	55	55	0	55	8	55	1	0	54	1	4	3	2	3	54	1	53
gapped_6	0	16	3	55	55	0	55	4	55	0	0	55	0	4	4	0	2	55	0	55
gapped_6	8	2	3	55	55	0	55	28	55	0	1	54	0	48	47	13	26	43	0	42
gapped_6	8	7	3	55	55	0	55	8	55	0	0	55	0	47	47	3	8	52	0	52
gapped_6	8	16	3	55	55	0	55	4	55	0	0	55	0	47	47	0	4	55	0	55
random_7	0	2	3	56	56	0	56	28	56	3	1	52	3	15	11	7	5	53	3	49
random_7	0	7	3	56	56	0	56	8	56	0	1	55	0	15	14	0	3	57	0	56
random_7	0	16	3	56	56	0	56	4	56	0	0	55	1	14	13	1	2	55	0	55
random_7	8	2	3	56	56	0	56	28	56	1	0	55	1	22	21	11	17	46	1	45
random_7	8	7	3	56	56	0	56	8	56	0	0	55	1	22	21	4	5	52	0	52
random_7	8	16	3	56	56	0	56	4	56	0	0	55	1	22	21	2	1	54	0	54
gapped_7	0	2	3	56	56	0	56	28	56	2	2	52	2	4	0	2	2	58	2	54
gapped_7	0	7	3	56	56	0	56	8	56	1	0	55	1	4	3	1	0	56	1	55
gapped_7	0	16	3	56	56	0	56	4	56	0	0	56	0	4	4	0	0	56	0	56
gapped_7	8	2	3	56	56	0	56	28	56	0	0	56	0	47	47	21	24	35	0	35
gapped_7	8	7	3	56	56	0	56	8	56	0	0	56	0	47	47	11	8	45	0	45
gapped_7	8	16	3	56	56	0	56	4	56	0	0	56	0	47	47	1	4	55	0	55
