run,mode,ts,start_level,output_level,n_inputs_total,n_inputs_start,n_inputs_next,n_outputs,input_entries,reason
baseline_run1,baseline,2026/04/15-06:35:42.084641,2,3,3,1,2,,270063110,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:42.084745,2,3,3,1,2,,270062794,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:42.084865,2,3,2,1,1,,112861968,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:42.084958,2,3,2,1,1,,108114072,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:42.084966,2,3,3,1,2,,216204547,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:42.084963,2,3,2,1,1,,108707423,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:42.085076,2,3,5,1,4,,382210211,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:42.085079,2,3,5,1,4,,393829670,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:42.193366,0,1,4,4,0,,263089212,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:42.193757,2,3,3,1,2,,208862366,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:42.193843,2,3,3,1,2,,208561241,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:42.193858,2,3,3,1,2,,208381229,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:42.272108,2,3,3,1,2,,233574890,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:42.275924,2,3,3,1,2,,208190068,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:42.360467,2,3,5,2,3,,296575987,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:42.469283,2,3,3,1,2,,270057896,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:42.469283,2,3,3,1,2,,205799457,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:42.602865,0,1,4,4,0,,263114345,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:43.001085,0,1,4,4,0,,263127690,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:43.405826,0,1,4,4,0,,263095851,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:43.774998,0,1,27,9,18,,5784614295,LevelL0FilesNum
