kv_size	system	bin_lower_bytes	bin_upper_exclusive_bytes	bin_lower_MiB	bin_upper_MiB	start_level	output_level	n_load_runs	n_jobs	mean_input_bytes	mean_input_MiB	mean_input_files	mean_output_files	mean_elapsed_ms	median_elapsed_ms	p90_elapsed_ms	stddev_elapsed_ms	cumulative_job_seconds	mean_read_ms	mean_write_ms	mean_merge_ms	mean_compress_ms	mean_decompress_ms	mean_sst_build_ms	mean_other_ms	mean_gather_ms	mean_split_ms	mean_diagnostics_ms	mean_mutex_wait_ms	mean_build_edit_ms	mean_commit_queue_wait_ms	mean_commit_after_queue_ms
1KB	vcomp	2097152	4194304	2.0	4.0	2	3	1	3	3029052	2.8887290954589844	2	1	6.521494	4.616151	10.710052600000001	5.037288989837986	0.019564482			0.030107333333333333				0.9220723333333334	0.002031666666666667	0.016583333333333332	0.007833333333333335	1.865099	0.0037530000000000003	1.8259383333333332	1.8480756666666667
1KB	vcomp	4194304	8388608	4.0	8.0	2	3	1	11	5950495.2727272725	5.674834511496804	2	1	12.34966490909091	8.823622	25.120916	12.896403160157016	0.135846314			0.042071727272727275				4.300098090909091	0.002016181818181818	0.021501909090909092	0.0055242727272727275	2.850612090909091	0.003829909090909091	2.189381090909091	2.934629636363636
1KB	vcomp	4194304	8388608	4.0	8.0	3	4	1	2	6596284	6.290706634521484	2	1	16.0107635	16.0107635	22.244617499999997	11.020001090817209	0.032021527			0.0437255				1.4042035	0.001977	0.022135000000000002	8.400000000000001e-05	4.8979995	0.003558	6.1858545000000005	3.4512265
1KB	vcomp	8388608	16777216	8.0	16.0	1	2	1	1	16458517	15.696064949035645	2	1	8.18174	8.18174	8.18174		0.00818174			0.060895				0.339379	0.001732	0.026849	9.4e-05	2.615143	0.002345	1.108023	4.02728
1KB	vcomp	8388608	16777216	8.0	16.0	2	3	1	28	12234415.17857143	11.667647532054357	2	1	11.604379892857143	9.263721499999999	16.339820800000002	11.541602588574158	0.32492263699999996			0.07325107142857143				3.2629834642857145	0.002336607142857143	0.02710514285714286	0.0045549642857142855	2.8159264285714287	0.0034621785714285713	2.430027107142857	2.9847329285714284
1KB	vcomp	8388608	16777216	8.0	16.0	3	4	1	3	13291901.333333334	12.67614491780599	2	1	6.191875333333333	5.269293	8.4139194	2.6692914083187564	0.018575626			0.039903				0.5082183333333333	0.002017	0.019102666666666667	0.002688	2.303859666666667	0.0033150000000000002	0.6723716666666666	2.6403999999999996
1KB	vcomp	16777216	33554432	16.0	32.0	1	2	1	3	23464263.333333332	22.377265294392902	2	1	4.629840333333334	1.258359	9.6534598	6.171091597236047	0.013889521			0.10002833333333333				0.5530116666666667	0.0016896666666666666	0.049515333333333335	9.166666666666667e-05	1.3376503333333334	0.004066	0.286783	2.2970043333333336
1KB	vcomp	16777216	33554432	16.0	32.0	2	3	1	50	26231886.88	25.016676788330077	2	1	14.82724036	7.4867775000000005	16.9784364	44.59582128660967	0.7413620180000002			0.08367946				7.461285500000001	0.00220254	0.03711568	0.0031047	2.18310042	0.00400072	2.19716704	2.8555843
1KB	vcomp	16777216	33554432	16.0	32.0	3	4	1	14	25500413.92857143	24.319089821406774	2	1	12.5010065	10.174609	21.098031400000004	6.788357603990229	0.17501409100000004			0.05593807142857143				1.1965269285714286	0.0023722142857142857	0.026289	0.0005600714285714285	2.6207487142857144	0.03304735714285714	3.957627142857143	4.607897
1KB	vcomp	33554432	67108864	32.0	64.0	1	2	1	61	60841647.67213115	58.02311675274959	1.9344262295081966	1.3442622950819672	8.301179327868853	7.040583	17.57424	6.1584359249791305	0.5063719389999999			0.22168309836065575				1.2189381967213115	0.0020438524590163936	0.10342773770491803	8.936065573770492e-05	1.753263393442623	0.005792327868852459	2.4267592295081966	2.569182131147541
1KB	vcomp	33554432	67108864	32.0	64.0	2	3	1	188	51479560.85106383	49.09473500353225	2	1.0585106382978724	7.810248473404255	6.433508	13.677508100000008	6.5637979098158565	1.4683267130000006			0.13167303191489363				1.2512970159574468	0.0019832127659574466	0.05743062765957447	0.002799813829787234	1.7850836276595745	0.0040655	1.9484826223404255	2.627433021276596
1KB	vcomp	33554432	67108864	32.0	64.0	3	4	1	137	56174870.04379562	53.57253078822672	2.0072992700729926	1.0218978102189782	11.573393467153284	9.026874	22.269978199999997	9.55409171724701	1.5855549050000006			0.08979111678832116				1.7626995474452554	0.0024495839416058393	0.03786661313868613	9.722627737226278e-05	2.081194591240876	0.003580094890510949	2.96390597810219	4.631808715328467
1KB	vcomp	33554432	67108864	32.0	64.0	4	5	1	1	67047903	63.94186305999756	2	1	2.467708	2.467708	2.467708		0.002467708			0.053696				0.012085	0.001861	0.023179	7.6e-05	0.000352	0.002598	0.156524	2.217337
1KB	vcomp	67108864	134217728	64.0	128.0	1	2	1	4867	114861041.8985001	109.54002561426172	2.043353194986645	2.1088966509143208	9.389979383192932	7.770975	18.8723978	7.724880569388571	45.70102965800009			0.40106842490240396				1.4762267113211425	0.002113068625436614	0.19590409081569757	0.00010553647010478735	2.1765829352784056	0.009092857407026917	2.3516178343949043	2.7772679239778095
1KB	vcomp	67108864	134217728	64.0	128.0	2	3	1	2120	99920020.08915095	95.2911568538198	2.1410377358490567	1.974056603773585	8.280714491509434	6.523275	15.9457705	7.987194763697115	17.555114722000006			0.2148145320754717				1.2938329971698113	0.002081115566037736	0.1059441075471698	0.002499696226415094	1.9885978094339622	0.006702185849056604	1.9797087806603773	2.686533266981132
1KB	vcomp	67108864	134217728	64.0	128.0	3	4	1	1479	101628096.0851927	96.92010506171484	2.1690331304935766	1.8586883029073697	7.54194885801217	4.702507	16.290182400000003	10.104698340031396	11.154542360999992			0.15477964976335362				1.3313683306288033	0.002493053414469236	0.0760976585530764	0.00010977552400270453	1.3547245334685598	0.005650000676132522	1.7791832467883706	2.837542609195402
1KB	vcomp	67108864	134217728	64.0	128.0	4	5	1	360	121161734.18055555	115.54883401923709	2.066666666666667	1.9944444444444445	15.617021383333332	16.053809	24.846499800000004	6.916875337418763	5.622127697999998			0.14404243611111112				2.1609441611111113	0.004059247222222223	0.07417276944444444	0.00010821388888888889	2.1446202555555556	0.0058711944444444445	4.3395676666666665	6.743635438888889
1KB	vcomp	134217728	268435456	128.0	256.0	1	2	1	6382	182000219.3194923	173.5689347453044	2.8011595111250394	3.2005640864932623	10.376150438577248	8.3912575	19.86893930000001	21.0226933435774	66.22059209899982			0.593170047947352				1.7129255513945472	0.0020618835788154184	0.29249832011908494	0.00011363945471638984	2.073102147759323	0.012805518802883109	2.6117588052334693	3.077714524287057
1KB	vcomp	134217728	268435456	128.0	256.0	2	3	1	7161	211351645.02513614	201.56063559068312	3.588046362239911	3.5407066052227343	8.771882544616673	6.636302	16.005635	18.788039099456817	62.81545090200002			0.43523934925289764				1.5725187937438905	0.0022280608853512077	0.21571319578271192	0.002957156123446446	1.8941712996788158	0.011528593771819579	1.915588123446446	2.7219379719312946
1KB	vcomp	134217728	268435456	128.0	256.0	3	4	1	3799	202179738.0618584	192.81362348733748	3.4659120821268754	3.320873914187944	7.607036918136352	4.756913	16.15795100000001	17.74970934015333	28.899133252			0.28394170465912083				1.3601687786259542	0.002559413266649118	0.1427314148460121	0.0001317557251908397	1.297977717557252	0.009552509871018688	1.7091179986838643	2.8008556249012897
1KB	vcomp	134217728	268435456	128.0	256.0	4	5	1	1432	187168216.18505585	178.49752062326036	2.7374301675977653	2.8987430167597767	14.984955488128492	14.1767825	23.271789300000002	6.329110157169204	21.458456259000027			0.2204038533519553				1.685834125698324	0.0038216745810055867	0.11225617248603352	0.00012069832402234636	2.333606087988827	0.008872302374301677	4.177931726955308	6.442108846368715
1KB	vcomp	268435456	536870912	256.0	512.0	0	1	1	16	469871588.125	448.10446560382843	6.875	7.75	22.1087416875	20.9289665	31.278236	6.776546780923715	0.35373986699999993			2.4862666875				1.1994413750000001	0.0028426875	1.3132639375	0.0001490625	2.4659208125	0.06390725	5.881219124999999	8.695730750000001
1KB	vcomp	268435456	536870912	256.0	512.0	1	2	1	420	322525863.3238095	307.58463222866965	4.2214285714285715	5.404761904761905	11.366924011904763	9.58209	21.672316700000003	7.194826841614243	4.774108085000003			0.9202859404761905				1.3694779095238094	0.002198464285714286	0.44780435	0.00012884285714285715	1.973000180952381	0.020587085714285715	3.040174619047619	3.5932666190476192
1KB	vcomp	268435456	536870912	256.0	512.0	2	3	1	8199	353601927.95267713	337.2210769202014	5.736431272106355	5.722771069642639	8.8343983334553	6.935648	16.368409800000002	12.150147001805724	72.43323193600027			0.7023320542749115				1.3882606303207707	0.0028041758751067205	0.3534854645688499	0.002879941944139529	1.6501302929625563	0.020394268691303816	1.9727760725698256	2.741335432247835
1KB	vcomp	268435456	536870912	256.0	512.0	3	4	1	10465	378906739.9266125	361.3536261812329	6.088580984233158	5.750597228858099	11.181117043382704	8.534128	20.7470868	11.399809947497916	117.01038985900048			0.4783545785953177				1.427722073387482	0.003889623889154324	0.24182240907787864	0.0001507367415193502	1.7593323101767797	0.018574874820831342	2.8070110497849976	4.444259386908743
1KB	vcomp	268435456	536870912	256.0	512.0	4	5	1	52	294635230.5	280.9860520362854	3.9038461538461537	4.173076923076923	16.592369403846153	16.369217499999998	24.281718400000003	6.357181929575218	0.8628032089999998			0.32686632692307693				2.411603346153846	0.005190557692307692	0.16399109615384616	0.00012944230769230768	2.339612653846154	0.011334403846153846	4.501673019230769	6.831968557692308
1KB	vcomp	536870912	1073741824	512.0	1024.0	0	1	1	21	613866662.8571428	585.4288700648716	9.142857142857142	9.095238095238095	23.518600714285714	23.525353	34.649197	7.168327605927419	0.493890615			3.0684796666666667				1.882055380952381	0.003763809523809524	1.6017858095238096	0.00013947619047619046	3.610420238095238	0.07334457142857143	5.104282476190476	8.174329285714286
1KB	vcomp	536870912	1073741824	512.0	1024.0	1	2	1	15	657717428.2666667	627.2482187906901	7.466666666666667	10.266666666666667	14.810414866666667	14.500811	22.512861199999996	6.26634946203879	0.22215622299999996			1.5227722666666665				1.8782098	0.0033255333333333335	0.8258102666666667	0.0001454	1.7361142	0.0436176	4.560784333333333	4.239635466666667
1KB	vcomp	536870912	1073741824	512.0	1024.0	2	3	1	180	623851462.2222222	594.9511167738173	9.088888888888889	9.838888888888889	7.355560533333334	6.130481	13.304944399999998	4.876982476807302	1.3240008959999992			1.1460697833333333				0.9572261555555556	0.0038668	0.5942987222222222	0.005974161111111111	1.1424512444444443	0.03645059444444444	1.3978570333333333	2.071366038888889
1KB	vcomp	536870912	1073741824	512.0	1024.0	3	4	1	62	583080299.1451613	556.0687056972134	7.306451612903226	7.354838709677419	15.450595612903227	14.367659	28.787598199999998	7.891614696908849	0.9579369280000001			0.6891917741935484				1.5893361935483872	0.005067919354838709	0.36000825806451614	0.0003251935483870968	2.256367612903226	0.029542451612903226	4.328738209677419	6.192018
1KB	vcomp	1073741824	2147483648	1024.0	2048.0	0	1	1	71	1895021071.5352113	1807.232924971782	27.95774647887324	29.676056338028168	38.36053798591549	37.990184	46.607909	5.646864761939293	2.7235981970000007			12.573641366197183				3.05784023943662	0.005591422535211267	7.440540253521127	0.0001602112676056338	2.3126159577464787	0.1705991971830986	3.31857823943662	9.48097109859155
1KB	vcomp	2147483648	4294967296	2048.0	4096.0	0	1	1	561	3190354044.4723706	3042.558712456103	41.75222816399287	40.27272727272727	37.222587577540104	35.070126	48.796795	11.441837055861658	20.881871630999992			15.374346684491979				4.614473172905526	0.0067595401069518715	9.263415718360072	0.00018865418894830659	0.8111189304812834	0.19392930124777183	1.0823166096256684	5.876038966131907
1KB	vcomp	4294967296	8589934592	4096.0	8192.0	0	1	1	2	5503948082.5	5248.973925113678	74	59	54.6722195	54.6722195	58.5091527	6.7828037116995015	0.10934443899999999			30.0402345				0.49189649999999996	0.010231	20.4684125	0.00015900000000000002	0.0007615	0.29743200000000003	0.159325	3.2037674999999997
91B	comp	2048	4096	0.001953125	0.00390625	1	2	1	5	3396	0.003238677978515625	2	1	16.315	18.829	21.9608	6.248149125941218	0.081575	0.3316	0.0372	0.078	0.0	0.0	0.29660000000000003	15.5716							
91B	comp	2048	4096	0.001953125	0.00390625	2	3	1	9	3132	0.002986907958984375	2	1	10.359555555555556	10.43	14.783000000000001	5.5182251700866445	0.093236	0.2544444444444445	0.03822222222222223	0.04811111111111111	0.0	0.0	0.3854444444444444	9.633333333333333							
91B	comp	2048	4096	0.001953125	0.00390625	3	4	1	2	2852	0.002719879150390625	2	1	11.602	11.602	13.0468	2.55406969364581	0.023204	0.478	0.0345	0.04	0.0	0.0	0.5385	10.511							
91B	comp	16384	32768	0.015625	0.03125	1	2	1	1	32612	0.031101226806640625	2	1	11.341	11.341	11.341		0.011340999999999999	0.299	0.06	0.245	0.0	0.0	0.566	10.171							
91B	comp	32768	65536	0.03125	0.0625	1	2	1	1	50134	0.04781150817871094	2	1	7.783	7.783	7.783		0.007783	0.213	0.078	0.226	0.0	0.0	0.503	6.763							
91B	comp	65536	131072	0.0625	0.125	2	3	1	1	124304	0.1185455322265625	2	1	5.922	5.922	5.922		0.005921999999999999	0.314	0.101	0.409	0.0	0.0	0.713	4.385							
91B	comp	524288	1048576	0.5	1.0	1	2	1	1	1009240	0.9624862670898438	2	1	13.281	13.281	13.281		0.013281000000000001	2.186	0.28	2.85	0.0	0.0	4.428	3.537							
91B	comp	524288	1048576	0.5	1.0	2	3	1	1	756130	0.7211017608642578	2	1	11.743	11.743	11.743		0.011743	0.861	0.57	2.104	0.0	0.0	2.796	5.412							
91B	comp	1048576	2097152	1.0	2.0	2	3	1	6	1618111.1666666667	1.543151060740153	2	1	23.374166666666667	23.498	28.79	5.3986045758757575	0.140245	1.8406666666666667	0.7311666666666667	4.366833333333333	0.0	0.0	5.734999999999999	10.7005							
91B	comp	2097152	4194304	2.0	4.0	2	3	1	5	3634849.8	3.4664628982543944	2	1	33.9856	35.103	38.22	4.556852894268148	0.169928	2.4956	1.9546000000000001	9.498	0.0	0.0	10.8102	9.2272							
91B	comp	2097152	4194304	2.0	4.0	3	4	1	2	3855858	3.6772327423095703	2	1	37.327	37.327	41.2838	6.99470027949733	0.074654	2.2074999999999996	1.726	9.503	0.0	0.0	10.3155	13.575							
91B	comp	4194304	8388608	4.0	8.0	1	2	1	6	6437487.333333333	6.13926633199056	2	1	58.24183333333333	60.533	65.555	8.095105865068517	0.349451	4.859	3.315666666666667	15.733166666666666	0.0	0.0	18.480333333333334	15.853666666666665							
91B	comp	4194304	8388608	4.0	8.0	2	3	1	18	6429690.555555556	6.131830745273167	2.111111111111111	1	53.563	54.113	61.1647	7.302144302310432	0.9641340000000002	3.083388888888889	3.054	14.7725	0.0	0.0	17.3015	15.351611111111112							
91B	comp	4194304	8388608	4.0	8.0	3	4	1	2	5045634.5	4.811892032623291	2	1	39.6225	39.6225	42.2949	4.724180405107327	0.07924500000000001	2.8585000000000003	1.6099999999999999	11.855	0.0	0.0	12.202	11.097000000000001							
91B	comp	8388608	16777216	8.0	16.0	1	2	1	10	12423074.1	11.847566699981689	2.1	1	94.2764	93.30250000000001	109.0825	13.563212772463281	0.9427639999999999	6.9972	5.993	29.4441	0.0	0.0	33.5616	18.2805							
