kv_size	system	bin_lower_bytes	bin_upper_exclusive_bytes	bin_lower_MiB	bin_upper_MiB	n_load_runs	n_jobs	mean_input_bytes	mean_input_MiB	mean_input_files	mean_output_files	mean_elapsed_ms	median_elapsed_ms	p90_elapsed_ms	stddev_elapsed_ms	cumulative_job_seconds	mean_read_ms	mean_write_ms	mean_merge_ms	mean_compress_ms	mean_decompress_ms	mean_sst_build_ms	mean_other_ms	mean_gather_ms	mean_split_ms	mean_diagnostics_ms	mean_mutex_wait_ms	mean_build_edit_ms	mean_commit_queue_wait_ms	mean_commit_after_queue_ms
1KB	vcomp	4194304	8388608	4.0	8.0	1	13	6049847.384615385	5.769584068885217	2	1	12.912910846153846	8.823622	24.857349000000003	12.272243942824705	0.167867841			0.04232615384615385				3.854575846153846	0.002010153846153846	0.021599307692307692	0.004687307692307692	3.1655947692307693	0.003788076923076923	2.804223153846154	3.0141060769230767
1KB	vcomp	8388608	16777216	8.0	16.0	1	32	12465557.6875	11.888082206249237	2	1	10.99000009375	8.989097	15.753097100000002	10.922606700487993	0.351680003			0.0697385625				2.91336159375	0.00228775	0.02634690625	0.00424053125	2.7616456875	0.00341346875	2.22393428125	2.9850313125
1KB	vcomp	16777216	33554432	16.0	32.0	1	67	25955118.343283582	24.75272974327429	2	1	13.884561641791045	8.609924	17.4943844	38.622882519190334	0.9302656300000003			0.07861479104477612				5.842905776119403	0.0022150298507462684	0.03540859701492537	0.0024380746268656715	2.2366933432835823	0.010073089552238805	2.479484791044776	3.1967281492537314
1KB	vcomp	33554432	67108864	32.0	64.0	1	387	54657630.6124031	52.12557851066885	1.9922480620155039	1.0904392764857882	9.205998100775194	7.606046	18.169037800000005	7.881205203787642	3.5627212649999995			0.13083275968992247				1.4240335710594314	0.0021575529715762275	0.057666550387596896	0.0014088165374677001	1.8802811369509045	0.004162059431524548	2.378704622739018	3.3267510310077517
1KB	vcomp	67108864	134217728	64.0	128.0	1	8826	109311728.06752776	104.24778753998542	2.0888284613641512	2.0299116247450715	9.06784663936098	7.122946499999999	18.499444	8.34350895210514	80.03281443900013			0.3045752561749377				1.4360701356220258	0.002248450600498527	0.14925417539089056	0.0006814317924314525	1.9924039631769772	0.007810282347609336	2.2474465213007027	2.927356422954906
1KB	vcomp	134217728	268435456	128.0	256.0	1	18774	197673390.87013957	188.5160359097858	3.2309577074677747	3.3316288484073717	9.555429450942793	7.2110015	18.6204341	18.844730458437585	179.39363251199953			0.44192356876531375				1.5859216793970385	0.002360175455417066	0.219155958133589	0.001202451368914456	1.8678725818152764	0.011360189783743474	2.283024861883456	3.142607984340045
1KB	vcomp	268435456	536870912	256.0	512.0	1	19152	366684475.80451125	349.6975667996514	5.891604010025063	5.728487886382624	10.204379331453634	7.74857	19.408786300000003	11.707323607855628	195.4342729560004			0.5851972947472849				1.4120319321219716	0.003390512687969925	0.29482646313700916	0.0013185742481203007	1.7194342922410193	0.01941610040726817	2.4621565109649124	3.7066076508980785
1KB	vcomp	536870912	1073741824	512.0	1024.0	1	278	615831665.7949641	587.3028428983346	8.607913669064748	9.251798561151078	10.784117489208633	7.9603955	22.574193300000008	7.775868983026131	2.997984662			1.2097198129496403				1.2177548992805756	0.004097690647482014	0.6306436618705036	0.003959068345323741	1.6093401223021582	0.03808359352517986	2.5021501151079137	3.568368525179856
1KB	vcomp	1073741824	2147483648	1024.0	2048.0	1	71	1895021071.5352113	1807.232924971782	27.95774647887324	29.676056338028168	38.36053798591549	37.990184	46.607909	5.646864761939293	2.7235981970000007			12.573641366197183				3.05784023943662	0.005591422535211267	7.440540253521127	0.0001602112676056338	2.3126159577464787	0.1705991971830986	3.31857823943662	9.48097109859155
1KB	vcomp	2147483648	4294967296	2048.0	4096.0	1	561	3190354044.4723706	3042.558712456103	41.75222816399287	40.27272727272727	37.222587577540104	35.070126	48.796795	11.441837055861658	20.881871630999992			15.374346684491979				4.614473172905526	0.0067595401069518715	9.263415718360072	0.00018865418894830659	0.8111189304812834	0.19392930124777183	1.0823166096256684	5.876038966131907
1KB	vcomp	4294967296	8589934592	4096.0	8192.0	1	2	5503948082.5	5248.973925113678	74	59	54.6722195	54.6722195	58.5091527	6.7828037116995015	0.10934443899999999			30.0402345				0.49189649999999996	0.010231	20.4684125	0.00015900000000000002	0.0007615	0.29743200000000003	0.159325	3.2037674999999997
91B	comp	2048	4096	0.001953125	0.00390625	1	16	3179.5	0.003032207489013672	2	1	12.3759375	10.8505	21.057499999999997	5.8972219727455855	0.19801500000000005	0.3065	0.0374375	0.0564375	0.0	0.0	0.3768125	11.59875							
91B	comp	16384	32768	0.015625	0.03125	1	1	32612	0.031101226806640625	2	1	11.341	11.341	11.341		0.011340999999999999	0.299	0.06	0.245	0.0	0.0	0.566	10.171							
91B	comp	32768	65536	0.03125	0.0625	1	1	50134	0.04781150817871094	2	1	7.783	7.783	7.783		0.007783	0.213	0.078	0.226	0.0	0.0	0.503	6.763							
91B	comp	65536	131072	0.0625	0.125	1	1	124304	0.1185455322265625	2	1	5.922	5.922	5.922		0.005921999999999999	0.314	0.101	0.409	0.0	0.0	0.713	4.385							
91B	comp	524288	1048576	0.5	1.0	1	2	882685	0.8417940139770508	2	1	12.512	12.512	13.1272	1.0875302294649103	0.025024	1.5234999999999999	0.425	2.4770000000000003	0.0	0.0	3.612	4.4745							
91B	comp	1048576	2097152	1.0	2.0	1	6	1618111.1666666667	1.543151060740153	2	1	23.374166666666667	23.498	28.79	5.3986045758757575	0.140245	1.8406666666666667	0.7311666666666667	4.366833333333333	0.0	0.0	5.734999999999999	10.7005							
91B	comp	2097152	4194304	2.0	4.0	1	7	3697995	3.5266828536987305	2	1	34.940285714285714	35.103	40.556400000000004	4.965470763659968	0.24458200000000002	2.4132857142857143	1.8892857142857145	9.499428571428572	0.0	0.0	10.668857142857142	10.46942857142857							
91B	comp	4194304	8388608	4.0	8.0	1	26	6325023.961538462	6.032012902773344	2.076923076923077	1	53.57038461538462	54.113	62.691	8.42960596980392	1.39283	3.475846153846154	3.0033076923076925	14.769769230769231	0.0	0.0	17.18126923076923	15.140192307692308							
91B	comp	8388608	16777216	8.0	16.0	1	46	12535176.260869564	11.954475651616635	2.0434782608695654	1	92.15284782608695	89.9935	110.31800000000001	13.337732309283549	4.239031	5.302413043478261	6.124847826086956	28.86119565217391	0.0	0.0	32.392021739130435	19.47236956521739							
91B	comp	16777216	33554432	16.0	32.0	1	134	25772950.78358209	24.579001220304576	2.044776119402985	1.007462686567164	169.43251492537314	170.986	208.1568	30.846246107806774	22.703957000000006	8.206141791044777	10.598955223880598	57.553694029850746	0.0	0.0	63.67729850746269	29.396425373134328							
91B	comp	33554432	67108864	32.0	64.0	1	475	54422763.029473685	51.90159132907265	2.082105263157895	1.111578947368421	339.98071789473687	348.37	405.9834	58.24697088580423	161.490841	14.741962105263157	21.505894736842105	119.22059578947369	0.0	0.0	131.9928757894737	52.519389473684214							
91B	comp	67108864	134217728	64.0	128.0	1	9218	107280079.31839879	102.31025630798224	2.091559991321328	1.9969624647428943	715.7487790193101	738.7565	845.1978	112.40118678602025	6597.772245000013	27.33350911260577	51.93554686482968	238.82447287914948	0.0	0.0	302.82720893903235	94.82804122369278							
