workload	metric	unit	baseline_n	baseline_mean	baseline_min	baseline_max	baseline_sd	f2load_n	f2load_mean	f2load_min	f2load_max	f2load_sd	absolute_mean_difference	mean_difference_pct	percentage_point_difference	f2load_mean_in_baseline_range
A	device_read_bytes_per_op	bytes/op	10	6473.619469400491	6364.0696259408915	6523.364514820083	47.44320615816872	9	6537.194245336508	6473.528156888807	6603.402522829029	50.907733213877165	63.57477593601743	0.9820592056194011		False
A	device_write_bytes_per_op	bytes/op	10	4223.548921823903	4125.645473590709	4271.858700793219	42.88265906462754	9	4326.387823199141	4263.129106416623	4385.839139187342	41.00183569994483	102.83890137523849	2.4348931024297915		False
B	throughput_ops_sec	ops/s	10	1041011.8	1019138.0	1065193.0	15654.686453441205	9	1042430.2222222222	1031087.0	1052770.0	6836.61491122942	1418.4222222222015	0.13625419252905058		True
B	avg_latency_us	us	10	46.1161	45.06	47.096	0.6903600429405569	9	46.046	45.592	46.551	0.3020413878924549	-0.0701000000000036	-0.15200765025664698		True
B	filter_checks_per_get	checks/Get	10	4.140143439979495	4.082125975525531	4.2049804635586066	0.04467709632665835	9	4.157430769209256	4.1002380682165755	4.254895198871275	0.047557637976109735	0.017287329229761284	0.41755387175297365		True
B	positive_lookup_pct	%	10	83.51817619623799	83.48359069257918	83.55617452152772	0.02474753538620486	9	83.49849886532343	83.48328684148531	83.53810767617546	0.017518112005632764	-0.019677330914561253	-0.023560537131850356	-0.019677330914561253	True
B	bloom_false_positive_pct	%	10	1.0275214377532886	1.0111213745711713	1.0414207348023519	0.008339023074882223	9	1.006448712218424	0.9841077039510233	1.0321338937994835	0.01936408599340815	-0.02107272553486461	-2.050830742854459	-0.02107272553486461	False
B	data_cache_misses_per_op	misses/op	10	0.3530469169441644	0.35153391330998623	0.3551902597080418	0.001228525076388823	9	0.3573901362154969	0.3540831423159223	0.3598176302956029	0.0018172128223860851	0.004343219271332521	1.2302102250107971		False
B	data_cache_hit_pct	%	10	45.68325438745978	45.541785861895	45.83795324156179	0.10249996990157896	9	45.34050537708456	45.102719901775	45.4235513816973	0.11026755332341788	-0.342749010375222	-0.7502727530491082	-0.342749010375222	False
B	compaction_read_bytes	bytes	10	167417388429.6	164677832029	171490409159	1980202978.5326452	9	174081494889.44446	169971781971	177895850270	3010466299.143141	6664106459.844452	3.9805342338419925		False
