system	arm	approximate_start_sec	approximate_end_sec	nvme_read_iops	nvme_read_MiB_s	nvme_read_await_us	nvme_member_mean_util_pct
f2load	f07	90	120	355171.9333333333	2777.0346354166672	70.0	100.0
f2load	f07	120	150	354873.66666666657	2774.749348958334	70.00000000000003	100.0
f2load	f07	150	180	352412.7666666666	2755.415885416667	70.0	100.0
f2load	f07	180	210	353964.8666666667	2767.6583333333333	69.99999999999999	100.0
f2load	f07	210	240	353083.69999999995	2760.739713541667	70.00000000000001	100.0
f2load	f07	240	270	352646.4000000001	2757.4134114583335	69.99999999999999	100.0
f2load	f07	270	300	357688.23333333334	2796.6981770833336	70.0	100.00129032258064
f2load	f08	0	30	324113.3666666667	2843.066666666667	69.99999999999999	98.70967741935483
f2load	f08	30	60	316272.4333333334	2473.034635416667	69.99999999999999	99.99956989247312
f2load	f08	60	90	338033.86666666664	2643.123958333333	70.0	100.0
f2load	f08	90	120	336524.8833333333	2631.2781315104166	70.0	99.96752688172045
f2load	f08	120	150	336617.69999999995	2631.993098958333	70.00000000000001	100.00086021505376
f2load	f08	150	180	336859.26666666666	2633.785546875	69.99999999999999	100.00086021505376
f2load	f08	180	210	334679.5333333333	2616.9295572916667	70.0	100.0
f2load	f08	210	240	333054.5	2604.1989583333334	70.00000000000001	100.0
f2load	f08	240	270	334129.26666666666	2612.6020833333337	70.0	100.0
f2load	f08	270	300	338388.30000000005	2646.011328125	69.99999999999999	100.00086021505376
f2load	f09	0	30	311218.9333333333	2741.6279947916664	70.00000000000001	98.67612903225806
f2load	f09	30	60	295047.4666666667	2307.0213541666667	69.99999999999999	99.99870967741936
f2load	f09	60	90	310591.5333333334	2428.5477864583336	70.0	100.0
f2load	f09	90	120	310040.13333333336	2424.2653645833334	69.99999999999999	100.0
f2load	f09	120	150	307591.6666666667	2405.044401041667	70.00000000000001	99.98666666666668
f2load	f09	150	180	308146.3	2409.3671875	70.00000000000001	100.0
f2load	f09	180	210	308326.49999999994	2410.7628906249997	70.0	100.0
f2load	f09	210	240	308670.3	2413.5255208333333	70.00000000000001	100.0
f2load	f09	240	270	312691.73333333334	2444.865494791667	69.99999999999999	99.99956989247312
f2load	f09	270	300	313020.69999999995	2447.588151041667	70.00000000000001	100.00086021505376
f2load	f10	0	30	357222.63333333336	3101.8369791666664	69.99999999999999	98.73505376344086
f2load	f10	30	60	377422.8	2951.1808593750006	70.00000000000001	100.00430107526881
f2load	f10	60	90	392133.93333333335	3065.9588541666667	70.0	100.0
f2load	f10	90	120	390960.8666666667	3056.922265625	70.0	100.00172043010753
f2load	f10	120	150	386064.06666666665	3018.613541666667	70.0	100.00129032258064
f2load	f10	150	180	387398.8666666667	3028.898828125	70.00000000000001	100.00129032258064
f2load	f10	180	210	385716.3333333333	3015.8975260416664	70.0	100.00043010752688
f2load	f10	210	240	386674.8333333333	3023.453385416666	69.99999999999999	100.00301075268817
f2load	f10	240	270	385546.9333333333	3014.513932291667	70.0	100.00086021505376
f2load	f10	270	300	389927.5666666667	3048.9505208333335	70.0	100.00086021505376
