system	arm	workload	window_sec	start_sec_exclusive	end_sec_inclusive	sample_count	mean_nominal_qps	min_nominal_qps	max_nominal_qps
f2load	f04	A	60	0	60	60	732788.1666666666	59997	1311387
f2load	f04	A	60	60	120	60	659632.2833333333	13973	1178584
f2load	f04	A	60	120	180	60	720388.3666666667	16329	1222306
f2load	f04	A	60	180	240	60	674709.9666666667	16144	1064950
f2load	f04	A	60	240	300	60	691194.4666666667	15780	1190470
f2load	f05	A	30	0	30	30	743491.0666666667	191914	1240275
f2load	f05	A	30	30	60	30	691123.1666666666	105157	969374
f2load	f05	A	30	60	90	30	714792.8666666667	238863	1203071
f2load	f05	A	30	90	120	30	661601	71314	1124041
f2load	f05	A	30	120	150	30	774842.1333333333	32773	1192011
f2load	f05	A	30	150	180	30	659200.4666666667	16122	1159907
f2load	f05	A	30	180	210	30	710991.8666666667	76538	1172436
f2load	f05	A	30	210	240	30	647799.4333333333	16014	1164918
f2load	f05	A	30	240	270	30	714604.0333333333	104439	1150190
f2load	f05	A	30	270	300	30	615248.6	14444	1169528
f2load	f05	A	60	0	60	60	717307.1166666667	105157	1240275
f2load	f05	A	60	60	120	60	688196.9333333333	71314	1203071
f2load	f05	A	60	120	180	60	717021.3	16122	1192011
f2load	f05	A	60	180	240	60	679395.65	16014	1172436
f2load	f05	A	60	240	300	60	664926.3166666667	14444	1169528
f2load	f06	A	30	0	30	30	735693.3333333334	209234	1262419
f2load	f06	A	30	30	60	30	755102.6	434481	1039361
f2load	f06	A	30	60	90	30	659274.4	16144	1146876
f2load	f06	A	30	90	120	30	726270.6333333333	47124	1106889
f2load	f06	A	30	120	150	30	650140.1333333333	126503	1209866
f2load	f06	A	30	150	180	30	765757.9666666667	16187	1083607
f2load	f06	A	30	180	210	30	661690.7	15149	1145860
f2load	f06	A	30	210	240	30	708360.4333333333	28629	1049512
f2load	f06	A	30	240	270	30	728491.8666666667	255563	1011660
f2load	f06	A	30	270	300	30	673980.6	16023	1121106
f2load	f06	A	60	0	60	60	745397.9666666667	209234	1262419
f2load	f06	A	60	60	120	60	692772.5166666667	16144	1146876
f2load	f06	A	60	120	180	60	707949.05	16187	1209866
f2load	f06	A	60	180	240	60	685025.5666666667	15149	1145860
f2load	f06	A	60	240	300	60	701236.2333333333	16023	1121106
f2load	f07	A	30	0	30	30	773848.2333333333	208174	1254284
f2load	f07	A	30	30	60	30	682716.6666666666	306216	1009988
f2load	f07	A	30	60	90	30	687692.8	60487	1084974
f2load	f07	A	30	90	120	30	685444.0666666667	15091	1191760
f2load	f07	A	30	120	150	30	633532.5333333333	16266	1120774
f2load	f07	A	30	150	180	30	679776.8333333334	16016	1143013
f2load	f07	A	30	180	210	30	744959	160730	1176926
f2load	f07	A	30	210	240	30	627904.6333333333	16159	1085239
f2load	f07	A	30	240	270	30	634233.5333333333	16033	1091338
f2load	f07	A	30	270	300	30	669759.0666666667	73181	1145885
f2load	f07	A	60	0	60	60	728282.45	208174	1254284
f2load	f07	A	60	60	120	60	686568.4333333333	15091	1191760
f2load	f07	A	60	120	180	60	656654.6833333333	16016	1143013
f2load	f07	A	60	180	240	60	686431.8166666667	16159	1176926
f2load	f07	A	60	240	300	60	651996.3	16033	1145885
f2load	f08	A	30	0	30	30	761523.4666666667	173623	1120627
f2load	f08	A	30	30	60	30	701736.3666666667	229205	1116602
f2load	f08	A	30	60	90	30	659981.3333333334	16150	1185593
f2load	f08	A	30	90	120	30	683027.8666666667	16273	1158579
f2load	f08	A	30	120	150	30	699644.2666666667	101620	1218672
f2load	f08	A	30	150	180	30	691458.9666666667	12903	1182972
f2load	f08	A	30	180	210	30	682275.7666666667	46759	1102229
f2load	f08	A	30	210	240	30	741531.1	345816	1233019
f2load	f08	A	30	240	270	30	673974.8	15979	1203737
f2load	f08	A	30	270	300	30	704186.6666666666	36595	1023501
f2load	f08	A	60	0	60	60	731629.9166666666	173623	1120627
f2load	f08	A	60	60	120	60	671504.6	16150	1185593
f2load	f08	A	60	120	180	60	695551.6166666667	12903	1218672
f2load	f08	A	60	180	240	60	711903.4333333333	46759	1233019
f2load	f08	A	60	240	300	60	689080.7333333333	15979	1203737
f2load	f09	A	30	0	30	30	804015.7333333333	48406	1219044
f2load	f09	A	30	30	60	30	652324.4666666667	257281	1118853
f2load	f09	A	30	60	90	30	667045.1	166153	1168934
f2load	f09	A	30	90	120	30	665927.9333333333	105168	1119016
f2load	f09	A	30	120	150	30	744211.7666666667	122152	1105831
f2load	f09	A	30	150	180	30	691262.1666666666	16337	1111578
f2load	f09	A	30	180	210	30	726753.7333333333	16173	1133438
f2load	f09	A	30	210	240	30	640274.6	11516	1037747
f2load	f09	A	30	240	270	30	733460.4666666667	16046	1121376
f2load	f09	A	30	270	300	30	667791.6	114307	1122919
f2load	f09	A	60	0	60	60	728170.1	48406	1219044
f2load	f09	A	60	60	120	60	666486.5166666667	105168	1168934
f2load	f09	A	60	120	180	60	717736.9666666667	16337	1111578
f2load	f09	A	60	180	240	60	683514.1666666666	11516	1133438
f2load	f09	A	60	240	300	60	700626.0333333333	16046	1122919
f2load	f10	A	30	0	30	30	760664.1	16143	1330185
f2load	f10	A	30	30	60	30	663703.6333333333	16301	1157265
f2load	f10	A	30	60	90	30	642662.0333333333	16064	1036227
f2load	f10	A	30	90	120	30	699075.9333333333	16009	1082616
f2load	f10	A	30	120	150	30	717229.1333333333	45879	1048166
f2load	f10	A	30	150	180	30	683398.6333333333	16077	1169415
f2load	f10	A	30	180	210	30	725759.3666666667	16061	1166399
f2load	f10	A	30	210	240	30	733109.7	16122	999297
f2load	f10	A	30	240	270	30	636262.2666666667	12991	1179850
f2load	f10	A	30	270	300	30	692205.7	16095	1184699
f2load	f10	A	60	0	60	60	712183.8666666667	16143	1330185
f2load	f10	A	60	60	120	60	670868.9833333333	16009	1082616
f2load	f10	A	60	120	180	60	700313.8833333333	16077	1169415
f2load	f10	A	60	180	240	60	729434.5333333333	16061	1166399
f2load	f10	A	60	240	300	60	664233.9833333333	12991	1184699
baseline	b01	B	30	0	30	30	1019102.6333333333	717942	1250626
baseline	b01	B	30	30	60	30	984408.6333333333	621858	1210682
baseline	b01	B	30	60	90	30	1039799.7333333333	608679	1220947
baseline	b01	B	30	90	120	30	994759.4333333333	699081	1175601
baseline	b01	B	30	120	150	30	1090370.6666666667	740056	1245956
baseline	b01	B	30	150	180	30	1092952.5666666667	1014640	1181033
baseline	b01	B	30	180	210	30	1114955.7666666666	995722	1297070
baseline	b01	B	30	210	240	30	1085334.3	723072	1188166
baseline	b01	B	30	240	270	30	1082092.0333333334	787560	1235693
baseline	b01	B	30	270	300	30	1109370.1	942377	1250004
baseline	b01	B	60	0	60	60	1001755.6333333333	621858	1250626
baseline	b01	B	60	60	120	60	1017279.5833333334	608679	1220947
baseline	b01	B	60	120	180	60	1091661.6166666667	740056	1245956
baseline	b01	B	60	180	240	60	1100145.0333333334	723072	1297070
baseline	b01	B	60	240	300	60	1095731.0666666667	787560	1250004
baseline	b02	B	30	0	30	30	1028570.3	752260	1229023
baseline	b02	B	30	30	60	30	940463.5666666667	586708	1187544
baseline	b02	B	30	60	90	30	963876.6333333333	735796	1148542
baseline	b02	B	30	90	120	30	915337.4666666667	648610	1069933
baseline	b02	B	30	120	150	30	1026772.7	686148	1236492
baseline	b02	B	30	150	180	30	1120917.2	962709	1234693
baseline	b02	B	30	180	210	30	1071390.7	767335	1237998
baseline	b02	B	30	210	240	30	1081408.2333333334	679278	1185023
baseline	b02	B	30	240	270	30	1074486.3666666667	707219	1263213
baseline	b02	B	30	270	300	30	1086819.5333333334	688099	1256675
baseline	b02	B	60	0	60	60	984516.9333333333	586708	1229023
baseline	b02	B	60	60	120	60	939607.05	648610	1148542
baseline	b02	B	60	120	180	60	1073844.95	686148	1236492
baseline	b02	B	60	180	240	60	1076399.4666666666	679278	1237998
baseline	b02	B	60	240	300	60	1080652.95	688099	1263213
baseline	b03	B	30	0	30	30	991268.9333333333	651345	1231440
baseline	b03	B	30	30	60	30	988664.6333333333	755858	1206971
baseline	b03	B	30	60	90	30	998584.1666666666	849928	1117692
baseline	b03	B	30	90	120	30	955944.2666666667	700475	1137205
baseline	b03	B	30	120	150	30	1085133.4333333333	1009340	1176106
baseline	b03	B	30	150	180	30	987700.1	699879	1218696
baseline	b03	B	30	180	210	30	1088668.9333333333	988873	1188773
baseline	b03	B	30	210	240	30	1029738.9	726658	1202579
baseline	b03	B	30	240	270	30	1029260.2	647983	1155196
baseline	b03	B	30	270	300	30	1037335.8	717235	1184694
baseline	b03	B	60	0	60	60	989966.7833333333	651345	1231440
baseline	b03	B	60	60	120	60	977264.2166666667	700475	1137205
baseline	b03	B	60	120	180	60	1036416.7666666667	699879	1218696
baseline	b03	B	60	180	240	60	1059203.9166666667	726658	1202579
baseline	b03	B	60	240	300	60	1033298	647983	1184694
baseline	n01	B	30	0	30	30	1015029.6	869480	1223173
baseline	n01	B	30	30	60	30	1002664	700098	1211366
baseline	n01	B	30	60	90	30	984182.5	716699	1177111
baseline	n01	B	30	90	120	30	923944.5	633743	1140305
baseline	n01	B	30	120	150	30	1036251.8666666667	746442	1226931
baseline	n01	B	30	150	180	30	1104000.6	912565	1229128
baseline	n01	B	30	180	210	30	1065483.7	900181	1170560
baseline	n01	B	30	210	240	30	1094073.9333333333	1040414	1222342
baseline	n01	B	30	240	270	30	1094856.2333333334	923483	1205039
baseline	n01	B	30	270	300	30	1051771.6666666667	733343	1172308
baseline	n01	B	60	0	60	60	1008846.8	700098	1223173
baseline	n01	B	60	60	120	60	954063.5	633743	1177111
baseline	n01	B	60	120	180	60	1070126.2333333334	746442	1229128
baseline	n01	B	60	180	240	60	1079778.8166666667	900181	1222342
baseline	n01	B	60	240	300	60	1073313.95	733343	1205039
baseline	n02	B	30	0	30	30	1012703.9	707965	1226203
baseline	n02	B	30	30	60	30	1009721.5	804042	1184998
baseline	n02	B	30	60	90	30	1040242.9	691420	1180383
baseline	n02	B	30	90	120	30	1024287.4333333333	754549	1180811
baseline	n02	B	30	120	150	30	1000193.1333333333	865128	1131672
baseline	n02	B	30	150	180	30	1094849.4	893054	1247604
baseline	n02	B	30	180	210	30	989444.1333333333	695406	1224714
baseline	n02	B	30	210	240	30	1074056.4666666666	737194	1219630
baseline	n02	B	30	240	270	30	1010520.7	694388	1209802
baseline	n02	B	30	270	300	29	1031681.448275862	751274	1182974
baseline	n02	B	60	0	60	60	1011212.7	707965	1226203
baseline	n02	B	60	60	120	60	1032265.1666666666	691420	1180811
baseline	n02	B	60	120	180	60	1047521.2666666667	865128	1247604
baseline	n02	B	60	180	240	60	1031750.3	695406	1224714
baseline	n02	B	60	240	300	59	1020921.7457627119	694388	1209802
baseline	n03	B	30	0	30	30	991520.1	586190	1232726
baseline	n03	B	30	30	60	30	1007784.7333333333	819815	1242324
baseline	n03	B	30	60	90	30	1041075.1333333333	847421	1220414
baseline	n03	B	30	90	120	30	966259.6666666666	703512	1166540
baseline	n03	B	30	120	150	30	1112093.7333333334	964990	1232249
baseline	n03	B	30	150	180	30	1061994.3666666667	736118	1244635
baseline	n03	B	30	180	210	30	1058367.6	681792	1252879
baseline	n03	B	30	210	240	30	1132155.5666666667	937524	1242298
baseline	n03	B	30	240	270	30	1104118.7333333334	989464	1248556
baseline	n03	B	30	270	300	30	1099854.7333333334	790303	1236342
baseline	n03	B	60	0	60	60	999652.4166666666	586190	1242324
baseline	n03	B	60	60	120	60	1003667.4	703512	1220414
baseline	n03	B	60	120	180	60	1087044.05	736118	1244635
baseline	n03	B	60	180	240	60	1095261.5833333333	681792	1252879
baseline	n03	B	60	240	300	60	1101986.7333333334	790303	1248556
baseline	n04	B	30	0	30	30	1020956.9333333333	751069	1247370
baseline	n04	B	30	30	60	30	1014835.3	725099	1208408
baseline	n04	B	30	60	90	30	1036995.4	865194	1177804
baseline	n04	B	30	90	120	30	989554.7333333333	591471	1151770
baseline	n04	B	30	120	150	30	1083785.3666666667	905483	1225747
baseline	n04	B	30	150	180	30	1059515.1666666667	749845	1251509
baseline	n04	B	30	180	210	30	1116137.2666666666	794643	1255365
baseline	n04	B	30	210	240	30	1109350.3666666667	839019	1212458
baseline	n04	B	30	240	270	30	1112173.0333333334	994863	1252925
baseline	n04	B	30	270	300	30	1109613.0333333334	1000633	1217461
baseline	n04	B	60	0	60	60	1017896.1166666667	725099	1247370
baseline	n04	B	60	60	120	60	1013275.0666666667	591471	1177804
baseline	n04	B	60	120	180	60	1071650.2666666666	749845	1251509
baseline	n04	B	60	180	240	60	1112743.8166666667	794643	1255365
baseline	n04	B	60	240	300	60	1110893.0333333334	994863	1252925
baseline	r01	B	30	0	30	30	1014638.2	840341	1216583
baseline	r01	B	30	30	60	30	972077.2666666667	633206	1138610
baseline	r01	B	30	60	90	30	989147.9	865670	1129742
baseline	r01	B	30	90	120	30	1011114.6333333333	676875	1167745
