system	arm	workload	process_start_utc	process_end_utc	measured_throughput_ops_s	reporter_sample_count	reporter_last_sec	qps_mean_0_60_sec	qps_mean_60_120_sec	qps_mean_120_180_sec	qps_mean_180_240_sec	qps_mean_240_300_sec	qps_mean_60_300_sec	qps_median_60_300_sec	qps_CV_pct_60_300_sec	one_sec_samples_below_90pct_own_steady_median	steady_samples
f2load	f06	C	2026-09-11T21:35:02.535455+00:00	2026-09-11T21:40:06.694831+00:00	1451516.0	299	299	1342148.0666666667	1484363.0166666666	1475376.75	1476727.5333333334	1479421.06779661	1478970.2133891212	1482733	1.1193956012039197	0	239
f2load	f07	C	2026-09-11T22:07:07.385670+00:00	2026-09-11T22:12:11.595303+00:00	1497025.0	300	300	1389880.1166666667	1530859.6666666667	1519632.15	1518687.55	1526822.6166666667	1524000.4958333333	1526906.5	1.172227783575483	0	240
f2load	f08	C	2026-09-11T22:39:12.945217+00:00	2026-09-11T22:44:17.190168+00:00	1413181.0	300	300	1298291.0166666666	1447515.2333333334	1445400.3333333333	1432463.4333333333	1442837.65	1442054.1625	1444882.0	1.1744696025815884	0	240
f2load	f09	C	2026-09-11T23:11:16.573732+00:00	2026-09-11T23:16:20.587549+00:00	1311868.0	300	300	1227012.6	1335219.1166666667	1324839.3333333333	1327090.8666666667	1345812.6	1333240.4791666667	1338196.5	1.3003554380784181	0	240
f2load	f10	C	2026-09-11T23:43:22.267511+00:00	2026-09-11T23:48:26.618812+00:00	1636981.0	300	300	1507417.4333333333	1684160.85	1663650.9	1661911.1833333333	1668518.7166666666	1669560.4125	1671870.5	1.1613138833048569	0	240
baseline	b01	D	2026-09-10T19:57:34.634348+00:00	2026-09-10T20:02:39.419102+00:00	2660567.0	299	299	2493280.85	2755334.3666666667	2691056.933333333	2699450.3	2665569.0169491526	2703008.6527196653	2695070	1.6595632323394738	0	239
baseline	b02	D	2026-09-10T20:39:22.517087+00:00	2026-09-10T20:44:27.345021+00:00	2675412.0	300	300	2513967.4	2776306.7666666666	2708964.216666667	2703184.8666666667	2675832.6333333333	2716072.120833333	2706172.5	1.787072684070169	0	240
baseline	b03	D	2026-09-10T21:21:22.969206+00:00	2026-09-10T21:26:27.847450+00:00	2674435.0	300	300	2514454.1166666667	2773076.283333333	2709336.0166666666	2697497.9833333334	2678805.7	2714678.995833333	2703606.5	1.7539846201067153	0	240
baseline	n01	D	2026-09-10T15:19:30.530413+00:00	2026-09-10T15:24:35.369482+00:00	2658994.0	300	300	2497616.9	2749701.2333333334	2683571.45	2703628.716666667	2661530	2699607.85	2693872.5	1.6815711122879555	0	240
baseline	n02	D	2026-09-10T16:01:25.245658+00:00	2026-09-10T16:06:30.133092+00:00	2684119.0	300	300	2494969.8333333335	2756296.933333333	2763228.45	2726271.2666666666	2681084.25	2731720.225	2735794.0	1.7712469350603488	0	240
baseline	n03	D	2026-09-10T16:43:22.286019+00:00	2026-09-10T16:48:27.162828+00:00	2693518.0	300	300	2520005.2	2761390.75	2774035.95	2728142.6666666665	2685348.05	2737229.3541666665	2734378.5	1.8035548687816219	0	240
baseline	n04	D	2026-09-10T22:04:13.309430+00:00	2026-09-10T22:09:18.134694+00:00	2703271.0	300	300	2562773.15	2804451.5	2724503.6333333333	2734594.566666667	2691406.3833333333	2738739.0208333335	2729643.0	1.8811376305843424	0	240
