system	arm	workload	throughput_ops_s	operations	measured_sec	process_elapsed_sec	nvme_read_await_us	nvme_read_iops	nvme_read_MiB_s	nvme_write_MiB_s	nvme_member_max_read_await_us	nvme_member_mean_util_pct	queue_timing_counters_usable	nvme_aqu_sz	device_read_p99_us	process_user_cpu_seconds	process_kernel_cpu_seconds	process_user_cpu_us_per_ycsb_op	process_kernel_cpu_us_per_ycsb_op	voluntary_context_switches	voluntary_context_switches_per_ycsb_op	involuntary_context_switches	involuntary_context_switches_per_ycsb_op	engine_sst_read_count	engine_sst_read_mean_us	engine_sst_read_p50_us	engine_sst_read_p95_us	engine_sst_read_p99_us	engine_get_block_read_count	engine_get_block_read_mean_us	engine_get_block_read_p50_us	engine_get_block_read_p95_us	engine_get_block_read_p99_us	engine_get_count	engine_get_mean_us	engine_get_p50_us	engine_get_p95_us	engine_get_p99_us	ycsb_read_p99_us	filter_checks_per_engine_get	data_cache_misses_per_ycsb_op	get_found_fraction	host_cpu_user_pct	host_cpu_system_pct	host_cpu_iowait_pct	host_cpu_snapshot_rows	qps_mean_20_to_280_sec	iostat_sample_count	mean_member_util_ge99_intervals	longest_mean_member_util_ge99_sec	start_utc	end_utc	binary_sha256	source_result	raw_dir
f2load	f01	A	694449.0	208354192	300.028	304.4754149913788	87.19954805877074	163005.71263333465	3919.6112749038925	2724.6281835217783	90.85500780824768	92.82122382840508	False			5665.76	2288.62	27.192925400800192	10.984276236688341	139474902	0.6694125069487443	90384118	0.43380033361651776	47736959	92.20251296275492	75.123398	164.69489	505.897883	47335275	93.40540780633471	86.399971	157.377946	376.689273	104172919	75.59504218174015	46.450296	215.774393	367.008057	367.86	8.946024590133641	1.1025914947753968	0.8675013320880449	38.55568563057587	15.653308998627317	21.013654603825703	48	684635.3409961686	60	24	10	2026-09-11T02:43:36.728701+00:00	2026-09-11T02:48:41.204117+00:00	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266	/home/smrc/virtual_compaction/vcomp/experiments/results/ycsb_f2band_f01_260911/results.json	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_f2band_f01_260911/full/workloada/f2load/raw
f2load	f02	A	702653.0	210814666	300.027	304.4750998020172	90.92403190762067	165265.20241793062	4004.256374881801	2793.124289730065	94.00169936116608	92.55179207546338	False			5697.96	2205.02	27.028290337257655	10.459518978627417	137764348	0.6534855976291517	85873453	0.4073409816753451	48384022	95.63460482884204	75.457528	191.680362	548.122796	47972577	96.56230867063906	86.989288	167.736572	472.464608	105403228	75.99081886752083	45.001097	217.913795	395.896763	398.64	8.805843877950304	1.1158032050768232	0.8676792137713277	38.76988400529493	15.080994368535594	21.927584640236926	48	695159.9578544061	60	26	10	2026-09-11T03:15:45.655174+00:00	2026-09-11T03:20:50.130275+00:00	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266	/home/smrc/virtual_compaction/vcomp/experiments/results/ycsb_f2band_f02_260911/results.json	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_f2band_f02_260911/full/workloada/f2load/raw
f2load	f03	A	681749.0	204547263	300.033	304.67168974876404	89.30110384590884	159876.912226951	3853.278267335347	2681.7489125097304	90.58524983204434	91.7055255195997	False			5585.74	2207.52	27.307820784676057	10.792224582345058	135562076	0.6627420675875776	83707074	0.4092309658526206	46843283	94.26290507862142	75.490699	177.615733	531.401222	46447780	95.62277217554855	87.402524	163.714829	438.929437	102267984	76.07539958937687	45.809938	217.642354	377.293707	377.97	8.884536435176036	1.103941791682639	0.8670676445523753	37.98014937396283	15.082171103506637	20.95659349403689	48	680219.264367816	60	25	20	2026-09-11T03:47:56.630983+00:00	2026-09-11T03:53:01.302673+00:00	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266	/home/smrc/virtual_compaction/vcomp/experiments/results/ycsb_f2band_f03_260911/results.json	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_f2band_f03_260911/full/workloada/f2load/raw
f2load	f04	A	695677.0	208726440	300.033	304.5153567790985	92.0273959611366	163369.4324194249	3911.1221272954476	2715.070365707412	94.56679830656046	92.00641976903593	False			5631.4	2177.09	26.97981146997956	10.430350845824803	138738590	0.6646910185408231	80288637	0.38465963871179903	47842511	96.7700321164163	75.667635	201.383442	559.413113	47442632	97.69167050006838	87.177063	173.59402	497.729353	104359082	76.83974708593163	45.598546	220.073206	422.212761	424.67	8.861616001949884	1.097270355399153	0.8675175486882876	38.36317673582015	14.895919161603164	21.920753407126654	48	680528.8582375479	60	23	10	2026-09-11T04:20:20.668248+00:00	2026-09-11T04:25:25.183606+00:00	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266	/home/smrc/virtual_compaction/vcomp/experiments/results/ycsb_f2band_f04_260911/results.json	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_f2band_f04_260911/full/workloada/f2load/raw
f2load	f05	A	693314.0	208011797	300.025	304.39677834510803	87.6101910533931	163075.24432378	3959.644391266339	2763.9301383592356	89.80915772809915	93.06117737070464	False			5684.85	2301.34	27.32945958829441	11.063507133684347	137479477	0.660921538983676	93091786	0.44753128112248364	47715648	92.65257766173478	75.307738	166.329225	513.456238	47308387	93.7935335017869	86.507614	157.918672	388.011847	104001483	75.57351589880695	45.685715	217.019232	370.494387	371.28	8.878331331102268	1.1182511057293545	0.8674414575415237	38.72868158351056	15.750192999026064	21.165805270468592	48	695843.3601532567	60	29	20	2026-09-11T04:52:31.080393+00:00	2026-09-11T04:57:35.477172+00:00	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266	/home/smrc/virtual_compaction/vcomp/experiments/results/ycsb_f2band_f05_260911/results.json	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_f2band_f05_260911/full/workloada/f2load/raw
f2load	f06	A	706421.0	211942980	300.023	304.4805836677551	88.51693058658375	166464.052943707	4038.4561329221124	2817.9308902131606	90.48656464013666	93.57910120774692	False			5809.32	2347.5	27.409825038791094	11.076092258398933	142428994	0.6720156242023209	91652749	0.4324405979381813	48693042	93.54665730270045	75.55293	172.322834	519.639739	48277447	94.80383272959732	87.199582	161.928916	410.025614	105967622	76.30100032819459	46.415816	218.70392	373.933127	374.66	8.759180422110445	1.1195263839359058	0.8678759442200185	39.52788012773274	16.04765413903218	21.517282520967118	48	707277.4559386973	60	18	15	2026-09-11T21:24:49.431499+00:00	2026-09-11T21:29:53.912083+00:00	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266	/home/smrc/virtual_compaction/vcomp/experiments/results/ycsb_f2band_f06_260912/results.json	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_f2band_f06_260912/full/workloada/f2load/raw
f2load	f07	A	681932.0	204597360	300.026	304.6616654396057	87.41232674854301	159647.75853837054	3809.3681130480595	2639.9363026669894	89.41946220223898	91.99975966637084	False			5598.33	2265.09	27.36266978224939	11.070963965517443	136938921	0.6693093253989201	83461244	0.4079292323224503	46822696	92.49033092840276	75.049525	165.584968	512.517662	46433586	94.12780143665837	87.022749	158.641208	392.461963	102292981	76.00066704478971	46.162727	218.945581	370.966841	371.75	8.955619320547516	1.0894760079015682	0.8672243992967611	38.00778116251802	15.453068986990257	20.806054383986623	48	672369.275862069	60	25	10	2026-09-11T21:56:54.184524+00:00	2026-09-11T22:01:58.846190+00:00	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266	/home/smrc/virtual_compaction/vcomp/experiments/results/ycsb_f2band_f07_260912/results.json	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_f2band_f07_260912/full/workloada/f2load/raw
f2load	f08	A	699867.0	209985782	300.037	304.47374749183655	88.73751010212328	164508.37030323266	3950.9286327132463	2744.972906153127	90.34318150503593	92.52991190320417	False			5668.06	2273.02	26.992589431602564	10.82463764141898	140173721	0.6675391050999825	91143683	0.43404692513896015	48167605	93.52646433220004	75.225292	172.077502	525.153732	47762932	94.61858547544779	86.368144	161.597656	422.307918	104989389	75.8207658680631	45.912067	217.865492	374.808292	375.5	8.942627525911213	1.1021585499536344	0.8678072314526947	38.5336634017377	15.530812109892869	21.53191560961349	48	690981.2950191571	60	22	10	2026-09-11T22:28:59.943732+00:00	2026-09-11T22:34:04.417480+00:00	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266	/home/smrc/virtual_compaction/vcomp/experiments/results/ycsb_f2band_f08_260912/results.json	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_f2band_f08_260912/full/workloada/f2load/raw
f2load	f09	A	699255.0	209792149	300.022	304.4801881313324	88.4735229649746	164260.09950580867	3957.956397721162	2753.1913195479137	90.35579249193407	92.94952980774355	False			5693.04	2317.11	27.13657316127688	11.044788906757422	141680302	0.675336530348426	87747061	0.4182571245790518	48078702	93.35247808894674	75.348668	169.205197	522.528174	47673234	94.65482996181883	86.932924	160.67535	413.867233	104892233	76.43044471176431	46.563282	219.333919	373.899681	374.61	8.829429696667818	1.1066718421383823	0.8675099518569692	38.70441348941704	15.825900079380064	21.488274420599232	48	699882.7624521073	60	23	10	2026-09-11T23:01:03.561252+00:00	2026-09-11T23:06:08.041440+00:00	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266	/home/smrc/virtual_compaction/vcomp/experiments/results/ycsb_f2band_f09_260912/results.json	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_f2band_f09_260912/full/workloada/f2load/raw
f2load	f10	A	695346.0	208624239	300.029	304.38010120391846	90.42561819695402	163042.66541639852	3887.9015754291545	2693.964218814524	93.41424306162212	91.94026477448955	False			5609.54	2199.61	26.888246672046577	10.54340574490963	137184667	0.6575682080738471	84209111	0.40364011106111214	47751517	95.18599582920056	75.312898	187.657799	544.74819	47354828	96.11769262470978	86.650895	166.531437	467.774692	104307730	76.22105070257017	45.43027	219.433782	394.117848	396.94	8.92002764320535	1.0890534392794118	0.8675504873895732	38.1383912201203	15.03462549982086	21.631594778234838	48	688954.7126436782	60	24	10	2026-09-11T23:33:09.418302+00:00	2026-09-11T23:38:13.798404+00:00	20d67c38612cee9a34d9ef7114c81bc8366b2d4cf99c598b642e63f21ab74266	/home/smrc/virtual_compaction/vcomp/experiments/results/ycsb_f2band_f10_260912/results.json	/home/smrc/virtual_compaction/vcomp/experiments/artifacts/log_runs/ycsb_f2band_f10_260912/full/workloada/f2load/raw
