workload	system	metric	value	unit	source_result_dir
workloadf	baseline	disk_read	1118962.97	MiB	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_fmix_260610/baseline/motivation_10tb_1kb_basecopy/workloadf
workloadf	baseline	disk_write	656427.98	MiB	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_fmix_260610/baseline/motivation_10tb_1kb_basecopy/workloadf
workloadf	vcomp	throughput	457785	ops/sec	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_fmix_260610/vcomp/motivation_10tb_1kb_w512/workloadf
workloadf	vcomp	latency_p50	12.500205	us	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_fmix_260610/vcomp/motivation_10tb_1kb_w512/workloadf
workloadf	vcomp	latency_p95	155.998239	us	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_fmix_260610/vcomp/motivation_10tb_1kb_w512/workloadf
workloadf	vcomp	latency_p99	293.149217	us	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_fmix_260610/vcomp/motivation_10tb_1kb_w512/workloadf
workloadf	vcomp	disk_read	1336008.83	MiB	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_fmix_260610/vcomp/motivation_10tb_1kb_w512/workloadf
workloadf	vcomp	disk_write	781809.73	MiB	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_fmix_260610/vcomp/motivation_10tb_1kb_w512/workloadf
mixgraph	baseline	throughput	645471	ops/sec	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_fmix_260610/baseline/motivation_10tb_1kb_basecopy/mixgraph
mixgraph	baseline	latency_p50	12.848601	us	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_fmix_260610/baseline/motivation_10tb_1kb_basecopy/mixgraph
mixgraph	baseline	latency_p95	109.396836	us	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_fmix_260610/baseline/motivation_10tb_1kb_basecopy/mixgraph
mixgraph	baseline	latency_p99	165.204058	us	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_fmix_260610/baseline/motivation_10tb_1kb_basecopy/mixgraph
mixgraph	baseline	disk_read	2019252.16	MiB	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_fmix_260610/baseline/motivation_10tb_1kb_basecopy/mixgraph
mixgraph	baseline	disk_write	28220.56	MiB	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_fmix_260610/baseline/motivation_10tb_1kb_basecopy/mixgraph
mixgraph	vcomp	throughput	811864	ops/sec	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_fmix_260610/vcomp/motivation_10tb_1kb_w512/mixgraph
mixgraph	vcomp	latency_p50	11.154118	us	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_fmix_260610/vcomp/motivation_10tb_1kb_w512/mixgraph
mixgraph	vcomp	latency_p95	114.260061	us	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_fmix_260610/vcomp/motivation_10tb_1kb_w512/mixgraph
mixgraph	vcomp	latency_p99	163.836489	us	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_fmix_260610/vcomp/motivation_10tb_1kb_w512/mixgraph
mixgraph	vcomp	disk_read	1796303.78	MiB	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_fmix_260610/vcomp/motivation_10tb_1kb_w512/mixgraph
mixgraph	vcomp	disk_write	30369.55	MiB	/home/smrc/virtual_compaction/eval-vcomp/log_runs/q3_flex_read10tb_realistic_fmix_260610/vcomp/motivation_10tb_1kb_w512/mixgraph
