run,mode,ts,start_level,output_level,n_inputs_total,n_inputs_start,n_inputs_next,n_outputs,input_entries,reason
vcomp_run1,vcomp,2026/04/14-17:10:24.832459,0,1,7,,,7,479637,
vcomp_run1,vcomp,2026/04/14-17:10:24.833080,1,2,5,,,5,402737,
vcomp_run1,vcomp,2026/04/14-17:10:24.833383,1,2,4,,,5,410715,
vcomp_run1,vcomp,2026/04/14-17:10:24.833410,1,2,7,,,6,494444,
vcomp_run1,vcomp,2026/04/14-17:10:24.838601,0,1,8,,,8,509855,
vcomp_run1,vcomp,2026/04/14-17:10:24.839046,1,2,3,,,3,230585,
vcomp_run1,vcomp,2026/04/14-17:10:24.839374,1,2,6,,,6,400983,
vcomp_run1,vcomp,2026/04/14-17:10:24.839386,1,2,6,,,6,427526,
vcomp_run1,vcomp,2026/04/14-17:10:24.839661,1,2,6,,,5,500166,
vcomp_run1,vcomp,2026/04/14-17:10:24.840254,2,3,2,,,3,138229,
vcomp_run1,vcomp,2026/04/14-17:10:24.840263,2,3,2,,,3,165543,
vcomp_run1,vcomp,2026/04/14-17:10:24.844692,0,1,8,,,9,521867,
vcomp_run1,vcomp,2026/04/14-17:10:24.845153,1,2,4,,,3,248228,
vcomp_run1,vcomp,2026/04/14-17:10:24.845463,1,2,3,,,3,199964,
vcomp_run1,vcomp,2026/04/14-17:10:24.845475,1,2,4,,,4,273084,
vcomp_run1,vcomp,2026/04/14-17:10:24.845508,1,2,5,,,4,357928,
vcomp_run1,vcomp,2026/04/14-17:10:24.845930,1,2,6,,,5,415372,
vcomp_run1,vcomp,2026/04/14-17:10:24.846461,1,2,8,,,9,609836,
vcomp_run1,vcomp,2026/04/14-17:10:24.847000,2,3,2,,,2,80017,
vcomp_run1,vcomp,2026/04/14-17:10:24.847009,2,3,2,,,3,195950,
vcomp_run1,vcomp,2026/04/14-17:10:24.847267,2,3,3,,,4,222797,
vcomp_run1,vcomp,2026/04/14-17:10:24.850525,0,1,7,,,7,453722,
vcomp_run1,vcomp,2026/04/14-17:10:24.850865,1,2,3,,,2,118112,
vcomp_run1,vcomp,2026/04/14-17:10:24.851156,1,2,4,,,4,362922,
vcomp_run1,vcomp,2026/04/14-17:10:24.851411,1,2,6,,,6,488620,
vcomp_run1,vcomp,2026/04/14-17:10:24.851727,1,2,9,,,8,771970,
vcomp_run1,vcomp,2026/04/14-17:10:24.852261,2,3,2,,,3,155054,
vcomp_run1,vcomp,2026/04/14-17:10:24.852620,2,3,2,,,3,161454,
vcomp_run1,vcomp,2026/04/14-17:10:24.856747,0,1,7,,,8,484863,
vcomp_run1,vcomp,2026/04/14-17:10:24.857297,1,2,3,,,3,254955,
vcomp_run1,vcomp,2026/04/14-17:10:24.857522,1,2,3,,,3,205853,
vcomp_run1,vcomp,2026/04/14-17:10:24.857542,1,2,6,,,5,387722,
vcomp_run1,vcomp,2026/04/14-17:10:24.857906,1,2,6,,,5,469792,
vcomp_run1,vcomp,2026/04/14-17:10:24.858402,2,3,2,,,3,182916,
vcomp_run1,vcomp,2026/04/14-17:10:24.858822,2,3,3,,,4,253076,
vcomp_run1,vcomp,2026/04/14-17:10:24.862868,0,1,8,,,8,505414,
