Linux 5.4.0-216-generic (dskbi001) 	09/11/2026 	_x86_64_	(96 CPU)

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz  aqu-sz  %util
nvme24n1       214.53  12732.20     4.27   1.95    0.11    59.35   20.45   8834.64     0.94   4.39    0.44   431.91    0.52   1232.32     0.00   0.00    0.25  2389.55    0.00   6.08
nvme25n1       214.60  12748.56     4.30   1.96    0.11    59.41   20.44   8835.25     0.93   4.34    0.44   432.27    0.52   1232.28     0.00   0.00    0.25  2389.62    0.00   6.07
nvme26n1       214.56  12643.93     4.28   1.95    0.11    58.93   20.46   8835.60     0.93   4.36    0.44   431.84    0.52   1232.41     0.00   0.00    0.25  2388.83    0.00   6.07
nvme27n1       214.77  12643.04     4.31   1.97    0.11    58.87   20.51   8835.92     0.95   4.44    0.44   430.82    0.52   1232.39     0.00   0.00    0.25  2389.53    0.00   6.07
nvme28n1       214.36  12581.06     4.27   1.95    0.11    58.69   20.39   8834.85     0.94   4.43    0.44   433.37    0.52   1232.30     0.00   0.00    0.25  2389.53    0.00   6.06
nvme29n1       215.26  12668.94     4.25   1.94    0.11    58.85   20.40   8835.28     0.95   4.44    0.44   433.09    0.52   1232.47     0.00   0.00    0.25  2389.48    0.00   6.05
nvme2n1        214.16  12646.92     4.26   1.95    0.11    59.05   20.78   8835.40     1.01   4.63    0.43   425.23    0.52   1232.24     0.00   0.00    0.26  2388.81    0.00   6.08
nvme30n1       216.08  12666.01     4.27   1.94    0.11    58.62   20.39   8834.78     0.94   4.39    0.44   433.20    0.52   1232.38     0.00   0.00    0.25  2389.37    0.00   6.07
nvme31n1       215.35  12627.68     4.27   1.94    0.11    58.64   20.38   8834.55     0.95   4.43    0.44   433.40    0.52   1232.25     0.00   0.00    0.25  2389.57    0.00   6.06
nvme3n1        214.85  12648.68     4.25   1.94    0.11    58.87   20.74   8834.58     0.99   4.57    0.43   426.03    0.52   1232.14     0.00   0.00    0.26  2389.25    0.00   6.07
nvme4n1        214.32  12624.24     4.29   1.96    0.11    58.90   20.66   8834.32     0.98   4.53    0.43   427.52    0.52   1232.06     0.00   0.00    0.26  2389.68    0.00   6.07
nvme5n1        214.87  12667.52     4.28   1.95    0.11    58.95   20.50   8834.16     0.96   4.50    0.44   431.03    0.52   1231.97     0.00   0.00    0.26  2389.51    0.00   6.08
nvme6n1        213.68  12542.90     4.27   1.96    0.11    58.70   20.59   8835.45     0.99   4.58    0.43   429.06    0.52   1232.00     0.00   0.00    0.26  2389.78    0.00   6.06
nvme7n1        213.91  12618.52     4.26   1.95    0.11    58.99   20.47   8834.87     0.97   4.50    0.44   431.55    0.52   1232.01     0.00   0.00    0.25  2389.46    0.00   6.07
nvme8n1        214.45  12647.57     4.29   1.96    0.11    58.98   20.54   8834.67     0.96   4.47    0.44   430.19    0.52   1232.11     0.00   0.00    0.25  2389.39    0.00   6.07
nvme9n1        214.50  12635.92     4.26   1.95    0.11    58.91   20.44   8835.46     0.96   4.47    0.44   432.19    0.52   1232.06     0.00   0.00    0.25  2389.64    0.00   6.08


Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz  aqu-sz  %util
