Linux 5.4.0-216-generic (dskbi001) 	09/11/2026 	_x86_64_	(96 CPU)

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz  aqu-sz  %util
nvme19n1       215.24  12649.67     4.30   1.96    0.11    58.77   20.41   8834.61     0.97   4.54    0.44   432.88    0.52   1232.26     0.00   0.00    0.25  2389.68    0.00   6.07
nvme1n1        215.21  12682.14     4.29   1.96    0.11    58.93   20.60   8836.44     0.99   4.58    0.44   428.85    0.52   1232.17     0.00   0.00    0.26  2388.82    0.00   6.08
nvme20n1       214.99  12668.55     4.27   1.95    0.11    58.93   20.56   8835.70     0.98   4.54    0.44   429.84    0.52   1232.29     0.00   0.00    0.25  2389.44    0.00   6.10
nvme21n1       215.04  12667.82     4.26   1.94    0.11    58.91   20.55   8834.89     0.97   4.50    0.43   429.97    0.52   1232.31     0.00   0.00    0.25  2389.20    0.00   6.07
nvme22n1       215.09  12729.02     4.25   1.94    0.11    59.18   20.50   8834.86     0.98   4.55    0.44   431.00    0.52   1232.29     0.00   0.00    0.25  2389.34    0.00   6.09
nvme23n1       215.03  12779.62     4.33   1.97    0.11    59.43   20.41   8834.90     0.95   4.45    0.44   432.91    0.52   1232.20     0.00   0.00    0.25  2389.50    0.00   6.06
nvme24n1       214.59  12733.49     4.27   1.95    0.11    59.34   20.46   8835.54     0.94   4.39    0.44   431.92    0.52   1232.26     0.00   0.00    0.25  2389.55    0.00   6.08
nvme25n1       214.67  12749.86     4.30   1.96    0.11    59.39   20.44   8836.15     0.93   4.34    0.44   432.28    0.52   1232.22     0.00   0.00    0.25  2389.62    0.00   6.07
nvme26n1       214.63  12645.23     4.28   1.95    0.11    58.92   20.46   8836.51     0.93   4.36    0.44   431.85    0.52   1232.34     0.00   0.00    0.25  2388.83    0.00   6.07
nvme27n1       214.84  12644.33     4.32   1.97    0.11    58.86   20.51   8836.82     0.95   4.44    0.44   430.83    0.52   1232.33     0.00   0.00    0.25  2389.53    0.00   6.08
