campaign	cell	workload	distribution	mode	point	ops_per_sec	micros_per_op	filter_per_lookup	filter_probes	positive_lookup_pct	gets	found_keys	bloom_useful	bloom_full_positive	bloom_true_positive	filter_block_miss	filter_block_hit	p50_us	p99_us	p999_us	sst_read_count	compact_write_GB	run_seconds	drain_seconds	total_seconds_incl_drain	elapsed_sec	fixed_ops	copy_mode	dropped_caches	cache_GiB	num_keys	source_ssts	source_db	finished_at
eval_20260912_f2ycsb	E7-lz4_f2load__workloadb	workloadb		f2load	E7-lz4	1023553	46.893	3.999	1166587197	83.57	291747147	243825167	1008438584	158148613	148343120	13219	1166580321	69.37	483.01	1064.23	77669965	278.45				304.5				50	1048576000	6838	/work/vcomp/exp/eval_20260909_night1/E7-lz4_f2load	2026-09-12T11:42:03.597334+00:00
eval_20260912_f2ycsb	E7-lz4_f2load__workloadc	workloadc		f2load	E7-lz4	1683397	28.511	3.033	1532218282	64.36	505100706	325069982	1197665952	334552330	325069982	6858	1532211424	66.85	120.90	290.74	113544707	0.00				304.1				50	1048576000	6838	/work/vcomp/exp/eval_20260909_night1/E7-lz4_f2load	2026-09-12T11:47:08.087592+00:00
eval_20260912_f2ycsb	E7-lz4_f2load__workloadd	workloadd		f2load	E7-lz4	2746288	17.477	0.888	695348135	92.13	782799393	721203491	359889563	335458572	331951680	7595	695341280	35.82	125.62	476.61	115108293	3.09				304.4				50	1048576000	6838	/work/vcomp/exp/eval_20260909_night1/E7-lz4_f2load	2026-09-12T11:52:12.784951+00:00
eval_20260912_f2ycsb	E7-lz4_f2load__workloade	workloade		f2load	E7-lz4	125820	381.472						0	0	0	35	0	68.14	299.40	807.00	126245056	0.26				304.6				50	1048576000	6838	/work/vcomp/exp/eval_20260909_night1/E7-lz4_f2load	2026-09-12T11:57:17.687520+00:00
eval_20260912_f2ycsb	E7-lz4_f2load__workloadf	workloadf		f2load	E7-lz4	578580	82.954	6.989	1213330228	86.51	173601640	150177527	1112816779	100513449	89669734	23171	1213323343	75.39	502.01	838.07	75067081	764.36				304.1				50	1048576000	6838	/work/vcomp/exp/eval_20260909_night1/E7-lz4_f2load	2026-09-12T12:02:22.118935+00:00
eval_20260912_f2ycsb	E7-zstd_f2load__workloada	workloada		f2load	E7-zstd	643528	74.586	8.948	863821815	86.70	96533145	83698867	806867821	56953994	49096860	22503	863815992	71.35	408.90	819.42	43818700	889.67				303.6				50	1048576000	5805	/work/vcomp/exp/eval_20260909_night1/E7-zstd_f2load	2026-09-12T12:07:26.044571+00:00
eval_20260912_f2ycsb	E7-zstd_f2load__workloadb	workloadb		f2load	E7-zstd	989827	48.491	3.999	1128269496	83.52	282131739	235644631	975525324	152744172	143264970	11942	1128263674	68.34	553.41	1196.17	74852319	308.71				304.5				50	1048576000	5805	/work/vcomp/exp/eval_20260909_night1/E7-zstd_f2load	2026-09-12T12:12:30.911912+00:00
eval_20260912_f2ycsb	E7-zstd_f2load__workloadc	workloadc		f2load	E7-zstd	1666536	28.800	2.931	1465529224	60.53	500024138	302678904	1153716403	311812821	302678904	5817	1465523407	65.97	109.36	187.94	112122764	0.00				304.1				50	1048576000	5805	/work/vcomp/exp/eval_20260909_night1/E7-zstd_f2load	2026-09-12T12:17:35.299607+00:00
eval_20260912_f2ycsb	E7-zstd_f2load__workloadd	workloadd		f2load	E7-zstd	2656866	18.065	0.820	620921946	92.06	757307992	697179650	297552735	323369211	320464270	7230	620916125	62.98	347.23	785.14	110984817	44.02				304.4				50	1048576000	5805	/work/vcomp/exp/eval_20260909_night1/E7-zstd_f2load	2026-09-12T12:22:40.015341+00:00
eval_20260912_f2ycsb	E7-zstd_f2load__workloade	workloade		f2load	E7-zstd	121769	394.163						0	0	0	863	0	57.50	841.97	2105.00	110450734	49.56				304.6				50	1048576000	5805	/work/vcomp/exp/eval_20260909_night1/E7-zstd_f2load	2026-09-12T12:27:44.866330+00:00
