target_gib	mode	point	elapsed_sec	db_tb	campaign	db_dir
1000	f2load	E4-1024m10	69.8	0.759	nobitmap_remaining_20260914_run1_load	/work/vcomp/exp/nobitmap_remaining_20260914_run1/E4-1024m10_f2load
1000	f2load	E3-u75	71.1	0.879	fix_20260914_load_nobitmap	/work/vcomp/exp/nobitmap_20260914/E3-u75_f2load
1000	f2load	E3-u75	71.4	0.878	eval_20260913_rest_load	/work/vcomp/exp/eval_20260909_night1/E3-u75_f2load
1000	f2load	E4-256m4	72.0	0.744	eval_20260913_rest_load	/work/vcomp/exp/eval_20260909_night1/E4-256m4_f2load
1000	f2load	E4-64m4	72.1	0.706	eval_20260913_match_load	/work/vcomp/exp/eval_20260909_night1/E4-64m4_f2load
1000	f2load	P0-r1	74.5	0.815	eval_20260909_night1	/work/vcomp/exp/eval_20260909_night1/P0-r1_f2load
1000	f2load	E3-u25	75.5	0.292	fix_20260913_load_E3-u25	/work/vcomp/exp/fix_20260913/E3-u25_f2load
1000	f2load	E4-1024m10	75.8	0.76	eval_20260913_rest_load	/work/vcomp/exp/eval_20260909_night1/E4-1024m10_f2load
1000	f2load	E6-OldestLargestSeq	77.2	0.695	eval_20260913_rest_load	/work/vcomp/exp/eval_20260909_night1/E6-OldestLargestSeq_f2load
1000	f2load	E6-OldestSmallestSeq	77.9	0.695	eval_20260913_rest_load	/work/vcomp/exp/eval_20260909_night1/E6-OldestSmallestSeq_f2load
1000	f2load	E3-u100	79.4	1.071	fix_20260914_load_global_unique_u100	/work/vcomp/exp/global_unique_20260914/E3-u100_f2load
1000	f2load	E3-u100	79.9	1.091	fix_20260914_load_nobitmap	/work/vcomp/exp/nobitmap_20260914/E3-u100_f2load
1000	f2load	E4-1024m4	80.4	0.816	eval_20260913_rest_load	/work/vcomp/exp/eval_20260909_night1/E4-1024m4_f2load
1000	f2load	E3-u100	82.5	1.091	eval_20260913_rest_load	/work/vcomp/exp/eval_20260909_night1/E3-u100_f2load
1000	f2load	E3-u50	83.9	0.649	fix_20260913_load_E3-u50	/work/vcomp/exp/fix_20260913/E3-u50_f2load
1000	f2load	u100-deep	89.8	1.085	deepfirst_20260915_load	/work/vcomp/exp/deepfirst_20260915/u100-deep_f2load
1000	f2load	E3-u75	92.1	0.878	fix_20260913_load_E3-u75	/work/vcomp/exp/fix_20260913/E3-u75_f2load
1000	f2load	E3-u100	106.2	1.091	fix_20260913_load_E3-u100	/work/vcomp/exp/fix_20260913/E3-u100_f2load
1000	f2load	E7-zstd	128.1	0.356	eval_20260912_e7_f2load	/work/vcomp/exp/eval_20260909_night1/E7-zstd_f2load
1000	f2load	E7-zstd	131.2	0.354	fix_20260913_load_E7-zstd	/work/vcomp/exp/fix_20260913/E7-zstd_f2load
1000	f2load	E5-sst16	485.5	0.821	fix_20260913_load_f2_5	/work/vcomp/exp/fix_20260913/E5-sst16_f2load
1000	f2load	E5-16	629.0	0.822	fix_20260913_load_E5-16	/work/vcomp/exp/fix_20260913/E5-16_f2load
1000	f2load	E5-16	678.4	0.727	eval_20260913_rest_load	/work/vcomp/exp/eval_20260909_night1/E5-16_f2load
2000	baseline	E2-2T	7231.0	1.545	eval_20260909_ordered	/work/vcomp/exp/eval_20260909_night1/E2-2T_baseline
2000	f2load	E2-2T	197.1	1.535	fix_20260913_load_f2_5	/work/vcomp/exp/fix_20260913/E2-2T_f2load
2000	f2load	E2-2T	201.0	1.535	bitmap_scale_20260915	/work/vcomp/exp/bitmap_scale_20260915/E2-2T_f2load
2000	f2load	E2-2T	212.1	1.544	nobitmap_remaining_20260914_run1_load	/work/vcomp/exp/nobitmap_remaining_20260914_run1/E2-2T_f2load
2000	f2load	sh32-2T	220.1	1.544	shards_20260915_load_24t	/work/vcomp/exp/shards_20260915/sh32-2T_f2load
4000	baseline	E2-4T	16246.3	2.939	eval_20260909_ordered	/work/vcomp/exp/eval_20260909_night1/E2-4T_baseline
4000	f2load	E2-4T	601.2	2.921	eval_20260913_match_load	/work/vcomp/exp/eval_20260909_night1/E2-4T_f2load
4000	f2load	E2-4T	757.1	2.901	bitmap_scale_20260915	/work/vcomp/exp/bitmap_scale_20260915/E2-4T_f2load
4000	f2load	sh32-4T	772.1	2.949	shards_20260915_load_24t	/work/vcomp/exp/shards_20260915/sh32-4T_f2load
4000	f2load	E2-4T	775.3	2.901	fix_20260913_load_f2_5	/work/vcomp/exp/fix_20260913/E2-4T_f2load
4000	f2load	E2-4T	792.2	2.948	nobitmap_remaining_20260914_run1_load	/work/vcomp/exp/nobitmap_remaining_20260914_run1/E2-4T_f2load
8000	baseline	E2-8T	37417.1	6.656	eval_20260909_night1	/work/vcomp/exp/eval_20260909_night1/E2-8T_baseline
8000	f2load	E2-8T	2607.4	5.8	eval_20260909_night1	/work/vcomp/exp/eval_20260909_night1/E2-8T_f2load
8000	f2load	E2-8T	3137.5	6.663	fix_20260913_load_f2_5	/work/vcomp/exp/fix_20260913/E2-8T_f2load
8000	f2load	E2-8T	3347.1	6.664	bitmap_scale_20260915	/work/vcomp/exp/bitmap_scale_20260915/E2-8T_f2load
8000	f2load	E2-8T	3615.1	6.677	nobitmap_remaining_20260914_run1_load	/work/vcomp/exp/nobitmap_remaining_20260914_run1/E2-8T_f2load
