job	plr_error	output_level	plr_segments	actual_output_files	predicted_output_files	output_file_delta	actual_entries	predicted_entries	entry_error_pct	rank_ks	rank_count_sup	boundary_mass_error
1172	8	0	2699	1	1	0	258285	258311	0.010066399519910178	0.0008196636666429085	0.0009021042646688735	0.00010066399519910177
1180	8	3	2618	4	4	0	248920	249305	0.1546681664791901	0.0010650677499872592	0.0019524345171139323	0.00038064438373774706
1182	8	3	2633	4	4	0	249020	249134	0.045779455465424466	0.000919462747654365	0.0010722030359007308	0.00043068829812866437
1187	8	3	2539	4	4	0	249769	250180	0.1645520460905877	0.0008611840624772784	0.0019137683219294628	0.00040437364124450994
1192	8	0	2709	1	1	0	258285	258306	0.008130553458388989	0.0009141886547669291	0.000886617496176704	8.130553458388989e-05
1196	8	3	2503	4	4	0	243268	244025	0.3111794399592219	0.0009263295351936254	0.0034529818965091997	0.0007717825607971456
1197	8	3	1755	3	3	0	169585	169759	0.10260341421705929	0.001842963319912116	0.001527257717368871	0.0009179270965395917
1203	8	3	1241	2	2	0	122063	121932	-0.1073216289948633	0.00136730313843329	0.0022857049228676993	0.0009093664746892998
1204	8	3	1283	2	2	0	127878	128237	0.2807363268114922	0.0014984419714435737	0.0033860398192026775	0.001403681634057461
1205	8	3	1265	2	2	0	121127	121027	-0.08255797633888398	0.0014800782151049474	0.0018492986699910011	0.00041278988169441994
1207	8	3	1303	2	2	0	127680	127736	0.043859649122807015	0.0026707839853909216	0.0029526942355889724	0.0015155075187969925
1210	8	3	1275	2	2	0	121767	121807	0.03284962263995992	0.0015761256736573435	0.0015521446697381064	0.0010881437499486724
1211	8	3	1359	2	2	0	127941	128268	0.2555865594297371	0.0009989065580121189	0.003400004689661641	0.0012779327971486859
1212	8	3	1305	2	2	0	118748	118781	0.027789941725334322	0.0012938589857214176	0.001229494391484488	0.00015579209755111665
1214	8	3	1341	2	2	0	127974	128477	0.39304858799443637	0.001244719559708808	0.004696266429118415	0.0019652429399721815
1215	8	3	1271	2	2	0	121479	121535	0.04609850262185234	0.002378181676975461	0.002074432617983355	0.0005391878431663086
1216	8	3	1283	2	2	0	122280	122480	0.16355904481517827	0.0013570620009499459	0.001889106967615309	0.0008137062479555119
1217	8	3	1200	2	2	0	117270	116768	-0.42807197066598446	0.0012265504848905362	0.004843523492794406	0.0021446235183763965
1219	8	3	1277	2	2	0	121503	121707	0.1678970889607664	0.0013402775313029153	0.00269952182250644	0.0008394854448038321
1220	8	3	1371	2	2	0	127875	128028	0.11964809384164223	0.002017307064519519	0.0031436950146627564	0.0008602150537634409
1221	8	3	1313	2	2	0	121694	122022	0.2695284894900324	0.0015968349830950944	0.003451279438591878	0.0013435337814518382
1222	8	3	1245	2	2	0	121117	120513	-0.49869134803537074	0.010764228046211237	0.013036980770659776	0.0024975849798129085
1224	8	3	1295	2	2	0	122461	122425	-0.029397114183291006	0.0022164097412103296	0.0024252619201215082	0.0008574158303459878
1225	8	3	1338	2	2	0	127863	127643	-0.17205915706654779	0.002023917380127262	0.002393186457380165	0.0009345940577023846
1226	8	3	1221	2	2	0	117629	117524	-0.08926370197825366	0.0018475135250847201	0.0025673940949935813	0.0005313315593943671
1227	8	3	1259	2	2	0	117450	117474	0.020434227330779056	0.014538842550546388	0.014618986802894848	0.0015410813111962538
1228	8	3	1729	3	3	0	164617	163817	-0.4859765394825565	0.002731846503153334	0.0053457419343081215	0.0016199217982751882
1229	8	3	1300	2	2	0	128246	128029	-0.16920605710899364	0.0018180800544372985	0.0030332330053179047	0.000873321585078677
1230	8	3	1299	2	2	0	122104	121556	-0.4487977461835812	0.002178657573086787	0.0052987617113280485	0.002243988730917906
1231	8	3	1209	2	2	0	121585	121431	-0.12666036106427603	0.0015809705069163968	0.002015051198749846	0.0006333018053213802
1232	8	3	2858	5	5	0	275257	275764	0.18419150103357954	0.0011659379944464919	0.0026811307251041754	0.0006822714772013064
1233	8	3	1353	2	2	0	128090	128148	0.04528066203450699	0.0012611414665502124	0.001077367475993442	0.00021859629947693028
1234	8	3	1299	2	2	0	122166	122195	0.023738192295728763	0.0018330677032927993	0.00170260137845227	0.0011296105299346791
1235	8	3	1353	2	2	0	127603	127685	0.06426181202636301	0.0016250528930340585	0.001920017554446212	0.0010383768406698902
1236	8	3	1303	2	2	0	127559	127388	-0.13405561348082065	0.0016847024073221677	0.0017717291606237115	0.0006702780674041032
1237	8	3	1292	2	2	0	121259	121614	0.29276177438375706	0.001891983351416934	0.003208009302402296	0.0014638088719187855
1238	8	3	1823	3	3	0	175390	175428	0.021666001482410626	0.0010026539989240334	0.0008609384799589487	0.0003211889693445084
1239	8	3	1319	2	2	0	127100	127446	0.27222659323367426	0.0016026812201160824	0.003044846577498033	0.0013493312352478365
1240	8	3	1309	2	2	0	126166	126423	0.20369988744986764	0.013549367337047912	0.012871930631073348	0.0010184994372493383
1241	8	3	2405	4	4	0	232841	232417	-0.18209851357793516	0.014178147320930652	0.013567198216808895	0.0019079543551178701
1262	8	3	1248	2	2	0	122414	122131	-0.23118270786021206	0.0015005057775076044	0.003635205123596974	0.0011599980394399333
1263	8	3	1335	2	2	0	128172	127907	-0.20675342508504196	0.001711138814433894	0.0025824673095527885	0.001314639702899229
1264	8	3	1299	2	2	0	127493	127518	0.01960891970539559	0.001752919323430479	0.0019295176990109261	0.00034903877075604154
1265	8	3	1221	2	2	0	115288	115467	0.15526334050378182	0.0032436643916302975	0.003547637221566859	0.0007763167025189091
1266	8	3	1637	3	3	0	154328	154428	0.06479705562179254	0.0011418561410986767	0.001399616401430719	0.000503257131995922
1267	8	3	1351	2	2	0	127905	127417	-0.3815331691489778	0.001452903583712397	0.004534615534967358	0.0019115749970681365
1270	8	0	2745	1	1	0	258288	258309	0.008130459022486526	0.0006400778859702589	0.0006620516632596171	8.130459022486527e-05
1272	8	3	1319	2	2	0	127721	128049	0.25680976503472414	0.0021672646423184067	0.0028264733285833965	0.0012801340421700425
1273	8	3	1287	2	2	0	127500	127296	-0.16	0.0020001759678230265	0.0030666666666666668	0.0007999999999999999
1274	8	3	1275	2	2	0	121478	121719	0.1983898319037192	0.0014869009430382666	0.0030293551095671644	0.000991949159518596
1275	8	3	1183	2	2	0	112768	112443	-0.2882023269012486	0.009712396433085435	0.009036251418842225	0.001441011634506243
1276	8	3	1939	3	3	0	185250	185296	0.024831309041835357	0.0036464250917756886	0.003584345479082321	0.000559604138551507
1277	8	3	1923	3	3	0	184073	184447	0.2031802600055413	0.007565209236764054	0.007018954436555062	0.0011734474909410942
1278	8	3	1935	3	3	0	184553	184678	0.06773122084170943	0.005525822961279308	0.005337220202326703	0.000559911425624798
1296	8	0	2697	1	1	0	258292	258315	0.008904650550539699	0.0007527860846877789	0.0008052901367444598	8.9046505505397e-05
1318	8	0	2681	1	1	0	258281	258146	-0.05226865313360255	0.0008300344236328016	0.0009447075084888164	0.0005226865313360255
1341	8	0	2674	1	1	0	258284	258146	-0.053429558160784256	0.0011982121966263408	0.0015138374812222206	0.0005342955816078426
1363	8	0	2719	1	1	0	258275	258310	0.013551447100958281	0.000822410214468174	0.0009176265608363179	0.0001355144710095828
