system	arm	workload	operations	throughput_ops_sec	filter_checks_per_lookup	positive_lookup_pct	compaction_write_per_op
F2Load PLR	f06	B	311803698	1039271.0	3.9376	83.501	531.7
F2Load PLR	f07	B	309346964	1031087.0	3.9733	83.486	532.7
F2Load PLR	f08	B	315128076	1050345.0	4.0422	83.538	539.7
F2Load PLR	f09	B	313547846	1045066.0	3.9028	83.485	528.2
F2Load PLR	f10	B	313069629	1043452.0	3.8953	83.503	518.6
F2Load PLR	f11	B	313615565	1045281.0	3.9103	83.506	533.0
F2Load PLR	f12	B	307958887	1026435.0	3.9692	83.487	534.4
F2Load PLR	f13	B	317814721	1059288.0	3.9759	83.524	544.5
F2Load PLR	f14	B	314681219	1048810.0	3.8846	83.52	550.8
F2Load PLR	f15	B	312109169	1040266.0	3.9508	83.512	541.8
F2Load exact membership	e01	B	314075874	1046838.0	3.8921	83.39	546.0
F2Load exact membership	e02	B	314492428	1048196.0	3.9357	83.388	547.0
F2Load exact membership	e03	B	307041527	1023376.0	4.0066	83.355	558.6
F2Load exact membership	e04	B	311668176	1038804.0	3.9959	83.371	557.6
F2Load exact membership	e05	B	310573205	1035158.0	3.9473	83.363	536.7
F2Load exact membership	e06	B	316583301	1055157.0	3.9104	83.4	545.6
F2Load exact membership	e07	B	314760408	1049106.0	3.9374	83.401	547.7
F2Load exact membership	e08	B	312896339	1042913.0	3.9404	83.369	549.4
F2Load exact membership	e09	B	312082839	1040146.0	3.9253	83.396	552.4
F2Load exact membership	e10	B	319451570	1064727.0	3.9295	83.42	550.3
baseline	b01	C	479123996	1596912.0	3.6244	60.292	
baseline	b02	C	492920647	1642937.0	3.3778	60.293	
baseline	b03	C	475682943	1585459.0	3.7315	60.292	
baseline	n01	C	478276874	1594123.0	3.6498	60.292	
baseline	n02	C	486042790	1619969.0	3.5872	60.293	
baseline	n03	C	488270131	1627399.0	3.4637	60.293	
baseline	n04	C	490623562	1635289.0	3.3177	60.293	
baseline	r01	C	479933669	1599628.0	3.646	60.292	
baseline	r02	C	478767704	1595775.0	3.6741	60.292	
baseline	run3	C	453369970	1511066.0	4.0253	60.292	
F2Load PLR	f01	C	342940990	1143040.0	4.2468	61.9	
F2Load PLR	f02	C	453174009	1510456.0	4.1207	62.292	
F2Load PLR	f03	C	464385742	1547810.0	3.8613	62.224	
F2Load PLR	f04	C	493448768	1644652.0	3.2485	62.578	
F2Load PLR	f05	C	463246231	1544004.0	3.9516	61.845	
F2Load PLR	f06	C	435483685	1451516.0	3.8537	66.938	
F2Load PLR	f07	C	449155374	1497025.0	3.9179	65.029	
F2Load PLR	f08	C	423991216	1413181.0	4.171	64.572	
F2Load PLR	f09	C	393600129	1311868.0	4.1085	61.686	
F2Load PLR	f10	C	491140282	1636981.0	3.2447	66.473	
F2Load PLR	f11	C	465521361	1551609.0	3.9745	61.791	
F2Load PLR	f12	C	413639531	1378685.0	3.932	61.064	
F2Load PLR	f13	C	420293078	1400885.0	4.1632	61.306	
F2Load PLR	f14	C	450195467	1500540.0	4.0561	65.095	
F2Load PLR	f15	C	370417913	1234628.0	4.1341	63.4	
F2Load exact membership	e01	C	494820570	1649273.0	3.3317	60.051	
F2Load exact membership	e02	C	482085261	1606787.0	3.5853	59.609	
F2Load exact membership	e03	C	426326309	1420955.0	4.0359	60.048	
F2Load exact membership	e04	C	422670845	1408777.0	4.2591	60.053	
F2Load exact membership	e05	C	492279369	1640783.0	3.2744	60.038	
F2Load exact membership	e06	C	487392366	1624481.0	3.4827	60.07	
F2Load exact membership	e07	C	490024184	1633189.0	3.4436	60.064	
F2Load exact membership	e08	C	490236711	1634011.0	3.4713	60.007	
F2Load exact membership	e09	C	489668080	1632107.0	3.4173	59.997	
F2Load exact membership	e10	C	456361005	1521093.0	3.8827	60.09	
baseline	b01	D	798227074	2660567.0	1.0158	92.068	
baseline	b02	D	802696614	2675412.0	1.0022	92.077	
baseline	b03	D	802390319	2674435.0	1.0251	92.075	
baseline	n01	D	797763397	2658994.0	1.054	92.066	
baseline	n02	D	805314184	2684119.0	1.0026	92.084	
baseline	n03	D	808139703	2693518.0	0.9595	92.09	
baseline	n04	D	811072452	2703271.0	0.9414	92.096	
baseline	r01	D	799877256	2666014.0	1.0542	92.072	
baseline	r02	D	797699700	2658741.0	1.0675	92.065	
baseline	run3	D	787546034	2624828.0	1.1172	92.043	
F2Load PLR	f01	D	792991361	2643045.0	1.0809	91.994	
F2Load PLR	f02	D	794879160	2649383.0	1.0874	91.984	
F2Load PLR	f03	D	793906341	2646143.0	1.03	91.997	
