carried_state,case,grandparent_boundaries,initial_plr_error,input_descriptor_entries,input_descriptor_files,input_global_empty_sketches,input_global_incomplete_sketches,input_global_sample_distinct_union,input_global_sample_entries,input_original_keys_covered_by_any_descriptor_range,input_original_keys_outside_all_descriptor_ranges,input_range_empty_sketches,input_range_estimated_entry_sum,input_range_incomplete_sketches,input_range_sample_entries,input_range_sketches,isolated_union_estimate,kmv_samples,merged_target,original_input_entry_sum,output_descriptor_entries,output_descriptor_files,output_global_empty_sketches,output_global_incomplete_sketches,output_global_sample_distinct_union,output_global_sample_entries,output_original_keys_covered_by_any_descriptor_range,output_original_keys_outside_all_descriptor_ranges,output_range_empty_sketches,output_range_estimated_entry_sum,output_range_incomplete_sketches,output_range_sample_entries,output_range_sketches,range_buckets,raw_outputs_capacity_violations,raw_outputs_crossfile_duplicate_rows,raw_outputs_files,raw_outputs_invalid_ranges,raw_outputs_invented_keys,raw_outputs_library_distinct_union,raw_outputs_library_invented_keys,raw_outputs_library_missing_original_keys,raw_outputs_library_perfile_distinct_sum,raw_outputs_library_raw_vector_rows,raw_outputs_library_unique_vs_stream_disagree_files,raw_outputs_library_within_file_duplicates,raw_outputs_missing_original_keys,raw_outputs_overlapping_range_pairs,raw_outputs_planned_entries,raw_outputs_stream_distinct_union,raw_outputs_stream_reference_drop,raw_outputs_stream_reference_rows,record_type,round,sst_target_entries,target_minus_true_union,this_round_entry_drop,trimmed_outputs_diagnostic_only_capacity_violations,trimmed_outputs_diagnostic_only_crossfile_duplicate_rows,trimmed_outputs_diagnostic_only_files,trimmed_outputs_diagnostic_only_invalid_ranges,trimmed_outputs_diagnostic_only_invented_keys,trimmed_outputs_diagnostic_only_library_distinct_union,trimmed_outputs_diagnostic_only_library_invented_keys,trimmed_outputs_diagnostic_only_library_missing_original_keys,trimmed_outputs_diagnostic_only_library_perfile_distinct_sum,trimmed_outputs_diagnostic_only_library_raw_vector_rows,trimmed_outputs_diagnostic_only_library_unique_vs_stream_disagree_files,trimmed_outputs_diagnostic_only_library_within_file_duplicates,trimmed_outputs_diagnostic_only_missing_original_keys,trimmed_outputs_diagnostic_only_overlapping_range_pairs,trimmed_outputs_diagnostic_only_planned_entries,trimmed_outputs_diagnostic_only_stream_distinct_union,trimmed_outputs_diagnostic_only_stream_reference_drop,trimmed_outputs_diagnostic_only_stream_reference_rows,true_original_union
"raw SplitIntoSSTs descriptors, never synthetic materialized keys",hot_shared_core,0,8,16384,4,0,0,8192,16384,8192,0,0,16384,0,16384,32,8192,16384,8192,16384,8192,16,0,0,8182,8182,8182,10,0,8182,0,8182,128,8,0,0,16,0,5528,8192,5528,5528,8192,8192,0,0,5528,0,8192,8192,0,8192,fixed_original_set_remerge,1,512,0,8192,0,0,16,0,5528,8192,5528,5528,8192,8192,0,0,5528,0,8192,8192,0,8192,8192
"raw SplitIntoSSTs descriptors, never synthetic materialized keys",hot_shared_core,0,8,8192,16,0,0,8182,8182,8182,10,0,8182,0,8182,128,8182,16384,8182,16384,8182,16,0,0,8173,8173,8182,10,0,8173,0,8173,128,8,1,0,16,0,5330,8181,5330,5341,8181,8182,0,1,5341,0,8182,8181,1,8181,fixed_original_set_remerge,2,512,-10,10,1,0,16,0,5330,8181,5330,5341,8181,8182,0,1,5341,0,8182,8181,1,8181,8192
"raw SplitIntoSSTs descriptors, never synthetic materialized keys",hot_shared_core,0,8,8182,16,0,0,8173,8173,8182,10,0,8173,0,8173,128,8173,16384,8173,16384,8173,16,0,0,8164,8164,8183,9,0,8164,0,8164,128,8,2,0,16,0,5358,8170,5358,5380,8170,8173,0,3,5380,0,8173,8170,3,8170,fixed_original_set_remerge,3,512,-19,9,2,0,16,0,5358,8170,5358,5380,8170,8173,0,3,5380,0,8173,8170,3,8170,8192
"raw SplitIntoSSTs descriptors, never synthetic materialized keys",hot_shared_core,0,8,8173,16,0,0,8164,8164,8183,9,0,8164,0,8164,128,8164,16384,8164,16384,8164,16,0,0,8153,8154,8180,12,0,8154,0,8154,128,8,2,1,16,0,5286,8158,5286,5320,8159,8164,0,5,5320,1,8164,8158,5,8159,fixed_original_set_remerge,4,512,-28,9,2,0,16,0,5286,8158,5286,5320,8158,8164,0,6,5320,0,8164,8158,6,8158,8192
"raw SplitIntoSSTs descriptors, never synthetic materialized keys",gapped_50,0,8,16384,4,0,4,1055,2048,8192,0,0,16384,32,2048,32,8184,512,8184,16384,8184,16,0,16,913,913,8181,11,21,10765,128,934,128,8,0,0,16,0,5549,8180,5549,5561,8180,8184,0,4,5561,0,8184,8180,4,8180,fixed_original_set_remerge,1,512,-8,8200,0,0,16,0,5549,8180,5549,5561,8180,8184,0,4,5561,0,8184,8180,4,8180,8192
"raw SplitIntoSSTs descriptors, never synthetic materialized keys",gapped_50,0,8,8184,16,0,16,913,913,8181,11,21,10765,128,934,128,7986,512,7986,16384,7986,16,0,16,899,899,8180,12,47,11803,128,926,128,8,0,0,16,0,6556,7986,6556,6762,7986,7986,0,0,6762,0,7986,7986,0,7986,fixed_original_set_remerge,2,512,-206,198,0,0,16,0,6556,7986,6556,6762,7986,7986,0,0,6762,0,7986,7986,0,7986,8192
"raw SplitIntoSSTs descriptors, never synthetic materialized keys",gapped_50,0,8,7986,16,0,16,899,899,8180,12,47,11803,128,926,128,7963,512,7963,16384,7963,16,0,16,896,896,8180,12,44,11741,128,916,128,8,0,0,16,0,6593,7963,6593,6822,7963,7963,0,0,6822,0,7963,7963,0,7963,fixed_original_set_remerge,3,512,-229,23,0,0,16,0,6593,7963,6593,6822,7963,7963,0,0,6822,0,7963,7963,0,7963,8192
"raw SplitIntoSSTs descriptors, never synthetic materialized keys",gapped_50,0,8,7963,16,0,16,896,896,8180,12,44,11741,128,916,128,7941,512,7941,16384,7941,16,0,16,884,884,8178,14,45,11692,128,910,128,8,0,0,16,0,6597,7941,6597,6848,7941,7941,0,0,6848,0,7941,7941,0,7941,fixed_original_set_remerge,4,512,-251,22,0,0,16,0,6597,7941,6597,6848,7941,7941,0,0,6848,0,7941,7941,0,7941,8192
"raw SplitIntoSSTs descriptors, never synthetic materialized keys",gapped_50,0,8,16384,4,0,4,4119,8192,8192,0,0,16384,32,8192,32,8148,2048,8148,16384,8148,16,0,16,3914,3914,8182,10,10,9476,128,3973,128,8,0,0,16,0,5376,8148,5376,5420,8148,8148,0,0,5420,0,8148,8148,0,8148,fixed_original_set_remerge,1,512,-44,8236,0,0,16,0,5376,8148,5376,5420,8148,8148,0,0,5420,0,8148,8148,0,8148,8192
"raw SplitIntoSSTs descriptors, never synthetic materialized keys",gapped_50,0,8,8148,16,0,16,3914,3914,8182,10,10,9476,128,3973,128,8148,2048,8148,16384,8148,16,0,16,3928,3928,8180,12,33,10541,128,3958,128,8,0,0,16,0,6051,8148,6051,6095,8148,8148,0,0,6095,0,8148,8148,0,8148,fixed_original_set_remerge,2,512,-44,0,0,0,16,0,6051,8148,6051,6095,8148,8148,0,0,6095,0,8148,8148,0,8148,8192
"raw SplitIntoSSTs descriptors, never synthetic materialized keys",gapped_50,0,8,8148,16,0,16,3928,3928,8180,12,33,10541,128,3958,128,8138,2048,8138,16384,8138,16,0,16,3916,3916,8181,11,35,10704,128,3943,128,8,0,0,16,0,6102,8138,6102,6156,8138,8138,0,0,6156,0,8138,8138,0,8138,fixed_original_set_remerge,3,512,-54,10,0,0,16,0,6102,8138,6102,6156,8138,8138,0,0,6156,0,8138,8138,0,8138,8192
"raw SplitIntoSSTs descriptors, never synthetic materialized keys",gapped_50,0,8,8138,16,0,16,3916,3916,8181,11,35,10704,128,3943,128,8124,2048,8124,16384,8124,16,0,16,3895,3895,8180,12,48,11667,128,3926,128,8,0,0,16,0,6130,8124,6130,6198,8124,8124,0,0,6198,0,8124,8124,0,8124,fixed_original_set_remerge,4,512,-68,14,0,0,16,0,6130,8124,6130,6198,8124,8124,0,0,6198,0,8124,8124,0,8124,8192
"raw SplitIntoSSTs descriptors, never synthetic materialized keys",gapped_50,0,8,16384,4,0,0,8192,16384,8192,0,0,16384,0,16384,32,8192,16384,8192,16384,8192,16,0,0,8191,8191,8191,1,0,8191,0,8191,120,8,0,0,16,0,5841,8192,5841,5841,8192,8192,0,0,5841,0,8192,8192,0,8192,fixed_original_set_remerge,1,512,0,8192,0,0,16,0,5841,8192,5841,5841,8192,8192,0,0,5841,0,8192,8192,0,8192,8192
"raw SplitIntoSSTs descriptors, never synthetic materialized keys",gapped_50,0,8,8192,16,0,0,8191,8191,8191,1,0,8191,0,8191,120,8191,16384,8191,16384,8191,16,0,0,8191,8191,8192,0,0,8191,0,8191,76,8,0,0,16,0,5495,8191,5495,5496,8191,8191,0,0,5496,0,8191,8191,0,8191,fixed_original_set_remerge,2,512,-1,1,0,0,16,0,5495,8191,5495,5496,8191,8191,0,0,5496,0,8191,8191,0,8191,8192
"raw SplitIntoSSTs descriptors, never synthetic materialized keys",gapped_50,0,8,8191,16,0,0,8191,8191,8192,0,0,8191,0,8191,76,8191,16384,8191,16384,8191,16,0,0,8184,8184,8185,7,0,8184,0,8184,94,8,0,0,16,0,5496,8191,5496,5497,8191,8191,0,0,5497,0,8191,8191,0,8191,fixed_original_set_remerge,3,512,-1,0,0,0,16,0,5496,8191,5496,5497,8191,8191,0,0,5497,0,8191,8191,0,8191,8192
"raw SplitIntoSSTs descriptors, never synthetic materialized keys",gapped_50,0,8,8191,16,0,0,8184,8184,8185,7,0,8184,0,8184,94,8184,16384,8184,16384,8184,16,0,0,8178,8178,8185,7,0,8178,0,8178,106,8,0,0,16,0,5499,8184,5499,5507,8184,8184,0,0,5507,0,8184,8184,0,8184,fixed_original_set_remerge,4,512,-8,7,0,0,16,0,5499,8184,5499,5507,8184,8184,0,0,5507,0,8184,8184,0,8184,8192
