mode,run_id,elapsed,ops_per_s,micros_per_op,found,total_ops,get_p50,get_p95,get_p99,get_p100,sst_p50,sst_p95,sst_p99,get_count,get_sum,sst_count,sst_sum,filter_per_get,index_per_get,data_per_get,sst_per_get,bytes_per_sst_read,bloom_fpr,bloom_useful,bloom_pos,bloom_tp,filter_miss,filter_hit,index_miss,index_hit,data_miss,data_hit,l0_hit,l1_hit,l2_hit,l3_hit,l4_hit,l5_hit,l6_hit,non_last_read_bytes,non_last_read_count,compact_read,compact_write
baseline,baseline_run27,404.891,2469,404.891,632270,1000000,409.33252,576.751331,803.944086,1593.0,94.310695,155.101607,168.472715,1000000,404511397,3761677,363958734,2.456082,0.649392,0.649876,3.761677,106522.98365064304,2.6366201000320277,1806690,649392,632270,2455769,313,649392,0,649876,0,0,937,9527,98049,523757,0,0,400705057570,3761677,0,0
baseline,baseline_run28,450.542,2219,450.542,632270,1000000,453.335282,802.487572,860.617784,1586.0,103.195747,165.581673,214.345526,1000000,450175400,3770255,408767568,2.464609,0.649473,0.649967,3.770255,107962.283224079,2.648762920090597,1815136,649473,632270,2464225,384,649473,0,649967,0,0,956,9733,97787,523794,0,0,407045338137,3770255,0,0
baseline,baseline_run29,470.03,2127,470.03,632270,1000000,463.428413,799.526826,860.506923,1694.0,94.379599,156.257845,185.562923,1000000,469625585,4323363,423322994,3.010479,0.653395,0.653992,4.323363,106254.02315072781,3.2331132010498975,2357084,653395,632270,3009440,1039,653395,0,653992,0,0,882,9779,97904,523705,0,0,459374712291,4323363,0,0
baseline,baseline_run30,405.09,2468,405.09,632270,1000000,409.674366,662.635287,834.711476,1561.0,94.589934,155.70823,168.226096,1000000,404716310,3697934,363192631,2.392619,0.649302,0.649781,3.697934,110921.79267477462,2.623124524489373,1743317,649302,632270,2392267,352,649302,0,649781,0,0,816,9801,97548,524105,0,0,410181468473,3697934,0,0
vcomp,vcomp_run1,497.248,2011,497.248,633979,1000000,502.689602,825.104226,865.104916,1707.0,93.655343,148.512762,166.418189,1000000,496817874,4657776,447628045,3.334807,0.658208,0.65887,4.657776,103102.1241064405,3.6810552287422804,2676599,658208,633979,3334502,305,658208,0,658870,0,0,899,9845,98779,524456,0,0,480226599212,4657776,0,0
vcomp,vcomp_run2,488.66,2046,488.66,633184,1000000,494.174303,820.567923,863.917986,1633.0,93.582464,148.486061,166.383406,1000000,488277962,4656166,440116702,3.327014,0.661815,0.662682,4.656166,100603.0705567628,4.326133436081081,2665199,661815,633184,3325467,1547,661815,0,662682,0,0,914,9903,98608,523759,0,0,468424596622,4656166,0,0
vcomp,vcomp_run3,495.986,2016,495.986,633198,1000000,502.103741,824.926971,865.037344,1554.0,93.635424,148.504818,166.564212,1000000,495579664,4679445,446575497,3.358122,0.658337,0.65908,4.679445,102391.90502484803,3.818561010546273,2699785,658337,633198,3355844,2278,658337,0,659080,0,0,881,9979,98911,523427,0,0,479137288009,4679445,0,0
vcomp,vcomp_run4,486.072,2057,486.072,633180,1000000,492.088715,819.254399,862.971399,1816.0,93.641248,149.074015,166.991131,1000000,485667883,4619682,436909118,3.295634,0.658964,0.659722,4.619682,101770.5305114075,3.912808590454109,2636670,658964,633180,3294818,816,658964,0,659722,0,0,878,9608,98785,523909,0,0,470147487934,4619682,0,0
vcomp,vcomp_run5,482.638,2071,482.638,632471,1000000,486.399666,814.717001,862.463254,1642.0,93.563469,148.695631,166.374674,1000000,482230261,4571447,433679367,3.251567,0.656766,0.657515,4.571447,102750.77351219428,3.6991866205010604,2594801,656766,632471,3250947,620,656765,1,657515,0,0,806,9897,98968,522800,0,0,469719715320,4571447,0,0
vcomp,vcomp_run6,459.693,2175,459.693,632397,1000000,457.596114,784.254991,856.755897,1675.0,93.606166,150.106088,166.83302,1000000,459267077,4321626,412891256,3.00598,0.654596,0.655305,4.321626,103845.28644612005,3.391252008872647,2351384,654596,632397,3005541,439,654596,0,655305,0,0,779,10070,98806,522742,0,0,448780489883,4321626,0,0
